Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69			http://fotki.yandex.ru	0	2492	202	1738	30335	435170	0	0	0					0	0	0	2492	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	0	84	0	57	15	96	-1	100	40	83	72	0	0				119029	50927	97365	0	298960	49027	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/	200	151	79	123	530	1024	537	0	0	Tue, 02 Jun 2009 11:53:13 GMT	max-age=0, proxy-revalidate	text/html		3	4	1	274	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	113	6		1024	0	0	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/css/_fotki.ie.css?build=3c63ad4ed0b35be35b31e89b587c10fe	200	103	33	240	453	20640	20377	91	2			text/css	gzip	3	6	1	343	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	2	0	0	100	0	100	-1	-1	100	-1	0	0	0		22		20640	0	0	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/_jquery.js	200	75	15	418	324	20081	19729	0	0	Thu, 11 Apr 2019 11:48:14 GMT	max-age=311040000	application/x-javascript	gzip	3	9	1	493	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	3	100	0	100	100	-1	-1	100	0	-1	0	0	0	3	7		20081	0	20081	0	0	0	311040000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/js/_common.js	200	21	15	560	327	3604	3253	0	0	Thu, 11 Apr 2019 11:48:14 GMT	max-age=311040000	application/x-javascript	gzip	3	12	1	581	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	4	100	0	100	100	100	-1	100	0	-1	0	0	0	7	6		3604	0	3604	0	0	0	311040000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/js/common.ru.js	200	6	5	608	412	2291	2060	91	2			application/x-javascript		3	4	1	614	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	5	0	0	0	0	100	-1	100	0	-1	0	0	0				2291	1150	2291	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/js/c/lora.js?build=4db4b17d63029a4dfcc569e0090d5dfa	200	25	10	638	448	12337	12105	91	2			application/x-javascript		3	6	1	663	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	6	0	0	0	0	100	-1	100	0	-1	0	0	0				12337	7129	12337	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/js/c/lora-jquery.js?build=4db4b17d63029a4dfcc569e0090d5dfa	200	60	8	682	455	58016	57784	91	2			application/x-javascript		3	4	1	742	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	7	0	0	0	0	100	-1	100	0	-1	0	0	0				58016	42648	58016	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/js/podvote.ru.js	200	8	8	793	413	364	135	91	2			application/x-javascript		3	6	1	801	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	8	0	0	100	0	100	-1	100	0	-1	0	0	0				364	0	364	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/js/c/podvote.js	200	7	5	825	412	672	442	91	2			application/x-javascript		3	4	1	832	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	9	0	0	100	0	100	-1	100	0	-1	0	0	0				672	0	672	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-logo/b-head-logo.png	200	360	237	892	347	1689	1400	0	0	Thu, 11 Apr 2019 11:48:14 GMT	max-age=311040000	image/png		3	12	1	1252	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	10	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1400	0	311040000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	img.yandex.net	/i/service/fotki/block/b-button.gif	200	201	157	1136	329	2335	2046	0	0	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/gif		3	22	1	1337	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	11	100	0	-1	100	0	-1	-1	-1	100	0	0	0	7	191		0	0	0	0	2046	0	5184000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.61	GET	img-fotki.yandex.ru	/getx/10000/photoface.153/olfff_28780_1_XXXS	200	212	204	1137	382	2309	2062	29	1	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/jpeg		3	24	1	1349	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	12	100	0	-1	0	100	-1	-1	-1	50	100	0	0	12	181		0	0	0	0	2062	230	5184000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.61	GET	img-fotki.yandex.ru	/getx/10000/photoface.153/angel-tih_58146_XXXS	200	202	200	1137	384	2281	2034	29	1	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/jpeg		3	23	1	1339	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	13	100	0	-1	0	100	-1	-1	-1	50	100	0	0		180		0	0	0	0	2034	263	5184000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.44	GET	img.yandex.net	/i/icons.png	200	372	192	1154	306	3827	3539	0	0	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/png		3	25	1	1526	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	14	100	0	-1	100	0	-1	-1	-1	100	0	0	0		196		0	0	0	0	3540	0	5184000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/i/li.gif	200	297	297	958	405	258	45	91	2			image/gif		3	6	1	1255	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	15	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	45	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	77.88.21.96	GET	lego.static.yandex.net	/2.0/common/block/b-foot/design/b-foot.design.2007.png	200	105	105	1251	356	763	474	0	0	Thu, 11 Apr 2019 11:48:14 GMT	max-age=311040000	image/png		3	26	1	1356	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	16	100	0	-1	100	100	-1	-1	-1	100	0	0	0		126		0	0	0	0	474	0	311040000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_fotki/0	302	43	36	1321	347	608	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	27	1	1364	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	17	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	10	185		0	0	0	0	0	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/i/tips.png	200	98	97	1250	407	1575	1359	91	2			image/png		3	4	1	1348	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	18	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	1359	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/i/li-eeeeee-lt.gif	200	17	17	1345	415	328	114	91	2			image/gif		3	6	1	1362	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	19	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	114	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-round/b-round.png	200	70	21	1345	339	4458	4169	0	0	Thu, 11 Apr 2019 11:48:14 GMT	max-age=311040000	image/png		3	12	1	1415	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	20	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	4170	0	311040000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.61	GET	img-fotki.yandex.ru	/getx/10000/photoface.153/klimelen8_41211_XXXS	200	18	17	1354	384	2096	1849	29	1	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/jpeg		3	23	1	1372	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	21	100	0	-1	0	100	-1	-1	-1	50	100	0	0				0	0	0	0	1849	217	5184000
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.69	GET	fotki.yandex.ru	/i/li-eeeeee-rt.gif	200	55	55	1360	415	328	114	91	2			image/gif		3	4	1	1415	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	22	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	114	0	
06/02/2009	15:48:15	Cleared Cache-Run_1^http://fotki.yandex.ru	213.180.204.61	GET	img-fotki.yandex.ru	/getx/10000/photoface.153/bbwainberg_180690_1_XXXS	200	68	58	1360	388	2787	2540	29	1	Sat, 01 Aug 2009 11:48:14 GMT	max-age=5184000	image/jpeg		3	24	1	1428	Launch	-1	-1	-1	0	http://fotki.yandex.ru	202	1	0	OczFigFzcUStiRYQt8T53g	23	100	0	-1	0	100	-1	-1	-1	50	100	0	0				0	0	0	0	2540	435	5184000
