Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	213.180.204.25			http://mail.yandex.ru	0	1229	132	685	9050	70279	0	0	0					0	0	0	1229	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	0	97	0	35	94	96	-1	100	80	99	19	0	0				35308	22826	8452	0	29363	60	
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	213.180.204.25	GET	mail.yandex.ru	/	200	34	23	108	529	402	15	0	0	Tue, 02 Jun 2009 11:55:33 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	1	142	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	101	3		402	0	0	0	0	0	
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/css/common.css	200	24	14	159	328	4927	4639	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	text/css		3	8	1	183	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	2	100	0	0	100	100	-1	-1	0	-1	0	0	0	2	10		4927	3117	0	0	0	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/css/mail-common.css	200	45	6	170	333	18356	18068	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	text/css		3	9	1	215	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	3	100	0	0	100	100	-1	-1	0	-1	0	0	0		21		18356	13613	0	0	0	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/css/mail-login.css	200	21	19	188	332	3171	2883	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	text/css		3	8	1	209	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	4	100	0	0	100	100	-1	-1	0	-1	0	0	0				3171	1951	0	0	0	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	passport.yandex.ru	/passport?mode=testloginjs&id45006581	200	33	31	242	334	429	36	0	0		no-cache,no-store,max-age=0,must-revalidate	application/x-javascript		3	12	1	275	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	5	-1	-1	100	100	100	-1	100	-1	-1	100	0	0	3	4		429	0	429	0	0	0	
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/js/index_main.js	200	4	3	298	330	2665	2361	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	application/x-javascript		3	8	1	302	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	6	100	0	0	100	100	-1	100	0	-1	0	0	0				2665	1420	2665	0	0	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/js/test_xslt.js	200	10	4	316	329	4677	4373	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	application/x-javascript		3	9	1	326	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	7	100	0	0	100	100	-1	100	0	-1	0	0	0				4677	2725	4677	0	0	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/classic/79/i/x.gif?xml=ok&xslt=ok&import=ok&transform=ok&xpath=ok&xpath2=ok&xpathres=ok&export2html=ok&time=47	200	6	6	635	411	327	43	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	image/gif		3	8	1	641	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	8	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	43	0	15552000
06/02/2009	15:50:35	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/i//login/logo50.png	200	5	5	639	333	2236	1947	0	0	Sun, 29 Nov 2009 11:50:33 GMT	max-age=15552000	image/png		3	9	1	644	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	iiRqZIhGFE6Ad7uEtd6baQ	9	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1947	60	15552000
