Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	77.88.21.11			http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	99999	3125	110	2081	5668	102792	0	0	0					0	0	0	3125	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	0	80	0	47	80	66	-1	100	60	100	33	0	0				96586	50949	67285	0	4306	0	
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	77.88.21.11	GET	yandex.ru	/yandsearch?text=&	200	570	18	91	541	453	22	0	0	Tue, 02 Jun 2009 13:02:20 GMT	private, max-age=3600	text/html	gzip	3	4	1	661	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	84	3		453	0	0	0	0	0	
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.ie.css	200	370	2	674	342	27824	27537	0	0	Fri, 05 Jun 2009 12:02:20 GMT	max-age=259200	text/css		3	9	1	1044	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	2	50	0	0	100	100	-1	-1	100	-1	0	0	0	3	8		27824	21086	0	0	0	0	259200
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	export.yandex.ru	/geoselectorData.xml	200	66	29	678	363	24560	24275	26	1	Tue, 02 Jun 2009 12:02:20 GMT	max-age=0, proxy-revalidate	text/javascript		3	10	1	744	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	3	0	0	0	0	-1	-1	100	0	-1	100	0	0	7	3		24560	16952	24560	0	0	0	0
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/jquery.min.js	200	80	16	1134	338	20083	19731	0	0	Thu, 11 Apr 2019 12:02:21 GMT	max-age=311040000	application/x-javascript	gzip	3	13	1	1214	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	4	100	0	100	100	100	-1	100	0	-1	0	0	0	10	7		20083	0	20083	0	0	0	311040000
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	js.static.yandex.net	/jquery/cookie/1.0/jquery.cookie.min.js	200	10	10	1287	350	945	594	0	0	Thu, 11 Apr 2019 12:02:21 GMT	max-age=311040000	application/x-javascript	gzip	3	13	1	1297	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	5	100	0	100	100	100	-1	100	0	-1	0	0	0				945	0	945	0	0	0	311040000
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	img.yandex.net	/jquery/jsonrpc/0.0.2/jquery.jsonrpc.min.js	200	193	13	1325	348	930	639	0	0	Sat, 01 Aug 2009 12:02:21 GMT	max-age=5184000	text/javascript		3	16	1	1518	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	6	100	0	100	100	100	-1	100	0	-1	0	0	0	8	2		930	0	930	0	0	0	5184000
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.js	200	227	2	1525	338	20767	20472	0	0	Fri, 05 Jun 2009 12:02:21 GMT	max-age=259200	text/javascript		3	9	1	1752	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	7	50	0	0	100	100	-1	100	0	-1	0	0	0				20767	12911	20767	0	0	0	259200
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	256	229	1782	323	1688	1399	0	0	Sat, 01 Aug 2009 12:02:21 GMT	max-age=5184000	image/png		3	16	1	2038	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	8	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1400	0	5184000
06/02/2009	16:02:22	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	0.0.0.0	GET	css.yandex.net	/n.gif	404	204	204	1811	311	479	345	0	0			text/html		3	9	1	2015	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=&#1058;&#1102;&#1088;&#1072;-&#1058;&#1072;&#1084;&nl=1&stpar2=%2Fh0%2Ftm1%2Fs1&stpar4=%2Fs1	202	1	0	9vKarynQGkCXuDtrHErf2g	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
