Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	213.180.204.69			http://maps.yandex.ru	0	916	124	0	6055	17599	0	0	0					0	0	0	916	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	0	0	0	48	54	100	-1	64	100	100	100	0	0				4988	2586	3964	1407	9690	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	213.180.204.69	GET	maps.yandex.ru	/home.html	304	14	14	110	720	203	149	61	2					3	12	1	124	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	91	15		0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	bs.yandex.ru	/page/67?rnd=1311433664&stat-id=41	200	52	30	110	664	1024	659	61	2	Tue, 02 Jun 2009 16:38:46 GMT	private, no-cache, no-store, must-revalidate, max-age=0	text/html		3	13	1	162	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	2	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0	5	9		1024	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/JYhZmFrupxq40X00ZhDOLQ84MGML0vi1RriYCeYlmWm3agpHf0QAeOtx0v6yq4ba1fE53Oke4_ONGNu5?1311433664	302	12	12	111	462	381	0	61	2	Tue, 02 Jun 2009 16:38:46 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	15	1	123	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	2	6		0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	213.180.204.190	GET	bs.yandex.ru	/resource/watch.js	304	12	12	111	430	149	95	61	2					3	14	1	123	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		5		0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_maps/0	200	55	55	113	387	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	16	1	168	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	5	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	3	3		0	0	0	0	43	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	awaps.yandex.ru	/0/8940/200300.gif?1311433664	200	714	714	170	422	569	44	89	3		no-cache, no-store, must-revalidate, max-age=5			3	19	1	884	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	6	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0	15	29		0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	213.180.204.190	GET	bs.yandex.ru	/watch/114208?rn=495749&cnt-class=0&page-ref=&page-url=http%3A%2F%2Fmaps.yandex.ru%2F&browser-info=j:1:s:1024x768x32:f:10.0.22.87:t:%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81.%D0%9A%D0%B0%D1%80%D1%82%D1%8B&wmode=1	200	1	1	169	569	364	0	61	2	Tue, 02 Jun 2009 16:38:46 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	14	1	170	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	7	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	bs.yandex.ru	/resource/slider.html	304	5	5	886	761	149	95	90	3					3	13	1	891	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/02/2009	20:38:47	Cached-Run_1^http://maps.yandex.ru	0.0.0.0	GET	trf.maps.yandex.net	/trf/coverage.js?id=0.9690366997534476	200	19	18	896	336	2320	2110	0	0	Tue, 02 Jun 2009 16:42:46 GMT	max-age=240	application/x-javascript		3	22	1	915	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	mXQi8UwwhUe+Sp1JWGZ6rA	9	0	0	0	100	100	-1	0	-1	-1	100	0	0	5	2		2320	1510	2320	578	0	0	240
