Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	87.250.251.69			http://maps.yandex.ru	0	2422	129	1043	27501	818347	0	0	0					0	0	0	2422	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	0	93	0	54	22	98	-1	99	45	98	50	0	0				283935	129202	224086	1407	534526	6334	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	87.250.251.69	GET	maps.yandex.ru	/	200	55	37	92	529	1024	726	0	0	Tue, 02 Jun 2009 16:44:10 GMT		text/html		3	4	1	147	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	83	5		1024	0	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	87.250.251.69	GET	maps.yandex.ru	/css/_maps.ie.css?1.6.6-0.gps.2	200	18	9	148	363	8278	7943	29	1	Thu, 02 Jul 2009 16:39:10 GMT	max-age=2592000	text/css	gzip	3	4	1	166	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	2	100	0	100	0	100	-1	-1	0	-1	0	0	0				8278	0	0	0	0	0	2592000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	api-maps.yandex.ru	/1.0.4/?key=AP_JbUkBAAAAO0APBQMAZgGGKZqIKMmRDJwfN0enUZD1R8cAAAAAAAAAAAB5Jg3D4sMkVd6DxzmwfS3sJnVnqg==	200	26	15	159	436	2494	2304	29	1	Tue, 02 Jun 2009 16:40:10 GMT		text/plain		3	7	1	185	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	3	100	0	0	0	100	-1	-1	-1	-1	100	0	0	7	2		2494	1420	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	api-maps.yandex.ru	/1.0.4/YMaps-ie.css	200	30	6	200	355	6386	6051	29	1	Fri, 28 May 2010 16:39:10 GMT	max-age=31104000	text/css	gzip	3	7	1	230	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	4	100	0	100	0	100	-1	-1	0	-1	0	0	0				6386	0	0	0	0	0	31104000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	93.158.134.106	GET	api-maps.yandex.ru	/1.0.4/xml/data.xml?v=1.33.1	200	116	49	208	364	39845	39655	29	1	Wed, 02 Jun 2010 16:39:10 GMT		text/plain		3	9	1	324	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	5	100	0	0	0	100	-1	-1	-1	-1	100	0	0		6		39845	33735	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	api-maps.yandex.ru	/1.0.4/YMaps.js	200	150	4	232	351	65484	65126	29	1	Fri, 28 May 2010 16:39:10 GMT	max-age=31104000	text/javascript	gzip	3	7	1	382	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	6	100	0	100	0	100	-1	100	100	-1	0	0	0				65484	0	65484	0	0	0	31104000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/jquery.min.js	200	52	13	486	326	20080	19728	0	0	Thu, 11 Apr 2019 16:39:11 GMT	max-age=311040000	application/x-javascript	gzip	3	12	1	538	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	7	100	0	100	100	100	-1	100	0	-1	0	0	0	4	2		20080	0	20080	0	0	0	311040000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	js.static.yandex.net	/jquery/cookie/1.0/jquery.cookie.min.js	200	7	7	590	338	945	594	0	0	Thu, 11 Apr 2019 16:39:11 GMT	max-age=311040000	application/x-javascript	gzip	3	12	1	597	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	8	100	0	100	100	100	-1	100	0	-1	0	0	0				945	0	945	0	0	0	311040000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/js/_common.js	200	28	16	620	326	3603	3252	0	0	Thu, 11 Apr 2019 16:39:11 GMT	max-age=311040000	application/x-javascript	gzip	3	15	1	648	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	9	100	0	100	100	100	-1	100	0	-1	0	0	0	5	2		3603	0	3603	0	0	0	311040000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	87.250.251.69	GET	maps.yandex.ru	/js/_maps.js?1.6.6-0.gps.2	200	95	6	665	358	127103	126798	29	1	Thu, 02 Jul 2009 16:39:11 GMT	max-age=2592000	application/x-javascript		3	4	1	760	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	10	100	0	0	0	100	-1	100	0	-1	0	0	0				127103	90177	127103	0	0	0	2592000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-logo/b-head-logo.png	200	90	88	907	346	1689	1400	0	0	Thu, 11 Apr 2019 16:39:11 GMT	max-age=311040000	image/png		3	15	1	997	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	11	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1400	0	311040000
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	87.250.251.69	GET	maps.yandex.ru	/home.html	200	103	102	910	610	336	122	29	1			text/html		3	4	1	1013	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	12	-1	-1	100	50	100	-1	-1	-1	-1	0	0	0				336	0	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	77.88.21.190	GET	bs.yandex.ru	/page/67?rnd=1663153424&stat-id=41	200	40	40	1015	632	1024	659	29	1	Tue, 02 Jun 2009 16:39:11 GMT	private, no-cache, no-store, must-revalidate, max-age=0	text/html		3	23	1	1055	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	13	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0	81	22		1024	0	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/Oo6r4Am4oeu40X00ZhvQLQ84MGML0vi1RriYCeYlmWm3agpHf0QAeOtx0v6yq4ba1fE53Oke4_ONGNu5?1663153424	302	38	38	1016	430	381	0	29	1	Tue, 02 Jun 2009 16:39:11 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	25	1	1054	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	14	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	22		0	0	0	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	77.88.21.190	GET	bs.yandex.ru	/resource/watch.js	200	48	42	1016	348	2907	2679	29	1			application/x-javascript		3	24	1	1064	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	15	0	0	0	0	100	-1	100	0	-1	100	0	0		22		2907	1284	2907	0	0	0	
06/02/2009	20:39:12	Cleared Cache-Run_3^http://maps.yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_maps/0	302	61	58	1018	345	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	26	1	1079	Launch	-1	-1	-1	0	http://maps.yandex.ru	202	1	0	LHTSzofaP0uG3p+Te94fjQ	16	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	20	3		0	0	0	0	0	0	
