Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	72.14.221.147			http://maps.google.com	0	1895	255	458	3947	37472	0	0	0					0	0	0	579	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	0	80	100	100	76	50	-1	100	100	-1	100	0	0				36268	0	35116	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	72.14.221.147	GET	maps.google.com	/	200	190	120	134	748	1024	844	208	2		private	text/html	gzip	3	4	1	324	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	1	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0	77	53		1024	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	72.14.221.147	GET	maps.google.com	/maps/vp?spn=33.02306,56.25&z=4&vp=37.0625,-95.677068	200	241	238	947	566	2658	2459	208	2		private, x-gzip-ok=""	text/javascript	gzip	3	4	0	1188	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	2	0	100	100	0	100	-1	100	-1	-1	100	0	0				2658	0	2658	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	0.0.0.0	GET	maps.gstatic.com	/cat_js/intl/ru_ALL/mapfiles/160f/maps2/%7Bmod_jslinker,mod_drag,mod_controls_app,mod_scrollwheel,mod_zoom,mod_extended_dom,mod_keyboard,mod_traffic_app,mod_lyrsctrl,mod_lyrs,mod_quadtree,mod_transitlyr,mod_cb_launchpad,mod_adfetcher%7D.js	200	254	64	1152	535	32123	31785	0	0	Wed, 02 Jun 2010 17:14:20 GMT	public, max-age=31536000	text/javascript	gzip	3	10	0	1406	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	3	100	100	100	100	100	-1	100	-1	-1	100	0	0	47	52		32123	0	32123	0	0	0	31536000
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	72.14.221.147	POST	maps.google.com	/maps/setprefs	200	83	83	1149	816	128	0	208	2			text/html		3	9	0	1232	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	4	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0		52		128	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	0.0.0.0	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/openhand_8_8.cur	0	0	0	1459	0	0	0	0	0					3	10	0	1459	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	74.125.43.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/openhand_8_8.cur	0	0	0	0	0	0	0	0	0					3	12	0	0	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	74.125.43.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/openhand_8_8.cur	0	0	0	0	0	0	0	0	0					3	14	0	0	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	74.125.43.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/openhand_8_8.cur	0	0	0	1569	0	0	0	0	0					3	16	0	1569	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		51		0	0	0	0	0	0	
06/02/2009	21:16:35	Cached-Run_1^http://maps.google.com	74.125.43.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/openhand_8_8.cur	0	0	0	0	0	0	0	0	0					3	18	0	0	Launch	-1	-1	-1	1	http://maps.google.com	202	2	0	4CbzJuqY5UiRevJ8lZFndw	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
