Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	72.14.221.104			http://maps.google.com	0	1295	236	796	12935	296779	0	0	0					0	0	0	1295	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	0	100	100	100	34	90	-1	98	100	98	100	0	0				126477	0	124696	1267	155265	2079	
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	72.14.221.104	GET	maps.google.com	/	200	299	100	135	530	1024	652	0	0	Tue, 02 Jun 2009 17:16:24 GMT	private	text/html	gzip	3	4	1	434	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	77	54		1024	0	0	0	0	0	
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	72.14.221.104	GET	maps.google.com	/intl/ru_ALL/images/maps_small_horizontal_logo.png	200	102	99	453	426	3103	2860	71	1	Wed, 02 Jun 2010 17:16:24 GMT	public, max-age=31536000	image/png		3	17	1	555	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	2	100	100	-1	0	100	-1	-1	-1	100	100	0	0		102		0	0	0	0	2860	0	31536000
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	74.125.43.99	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/transparent.png	200	114	114	474	333	370	95	0	0	Wed, 02 Jun 2010 17:16:24 GMT	public, max-age=31536000	image/png		3	18	1	588	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	3	100	100	-1	100	100	-1	-1	-1	100	100	0	0	67	56		0	0	0	0	95	0	31536000
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	0.0.0.0	GET	mt1.google.com	/vt/v=w2.97&hl=ru&x=3&y=5&z=4&s=Galile	200	170	95	492	413	14064	13881	71	1		public, max-age=22222222	image/png		3	19	1	662	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	4	100	100	-1	0	100	-1	-1	-1	100	100	0	0	3	52		0	0	0	0	13888	0	22222222
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	0.0.0.0	GET	mt2.google.com	/vt/v=w2.97&hl=ru&x=4&y=5&z=4&s=G	200	169	88	496	408	17469	17286	71	1		public, max-age=22222222	image/png		3	20	1	665	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	5	100	100	-1	0	100	-1	-1	-1	100	100	0	0	4	51		0	0	0	0	17296	0	22222222
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	0.0.0.0	GET	mt3.google.com	/vt/v=w2.97&hl=ru&x=3&y=6&z=4&s=Galileo	200	173	91	500	414	16332	16149	71	1		public, max-age=22222222	image/png		3	21	1	673	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	6	100	100	-1	0	100	-1	-1	-1	100	100	0	0	3	51		0	0	0	0	16158	0	22222222
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	0.0.0.0	GET	mt0.google.com	/vt/v=w2.97&hl=ru&x=4&y=6&z=4&s=Ga	200	189	88	504	409	12853	12670	71	1		public, max-age=22222222	image/png		3	22	1	693	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	7	100	100	-1	0	100	-1	-1	-1	0	100	0	0	3	52		0	0	0	0	0	0	22222222
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	74.125.43.99	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/mapcontrols3d5.png	200	90	89	505	336	3044	2767	0	0	Wed, 02 Jun 2010 17:16:24 GMT	public, max-age=31536000	image/png		3	23	1	595	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	8	100	100	-1	100	100	-1	-1	-1	100	100	0	0		52		0	0	0	0	2767	0	31536000
06/02/2009	21:16:25	Cleared Cache-Run_1^http://maps.google.com	72.14.221.104	GET	maps.google.com	/mapfiles/home3.html	200	75	75	586	664	629	363	71	1	Wed, 02 Jun 2010 17:16:24 GMT	public, max-age=31536000	text/html	gzip	3	4	1	661	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	21VC6yHEZE+6E9kmBL2d+g	9	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				629	0	0	0	0	0	
