Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	77.88.21.24			http://pampers2.yandex.ru:2008	99999	3139	65	590	11324	29196	0	0	0					0	0	0	2952		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	0	0	0	100	50	50	-1	100	100	100	100	0	0				1765	0	409	0	22210	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	77.88.21.24	POST	passport.yandex.ru	/passport?mode=auth	302	68	65	0	1098	1024	26	209	3			text/plain		3	16	1	68		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=10a1244032642FE2uGRDpp&ncrnd=766287	302	44	44	96	1069	1024	26	360	7			text/plain		3	5	1	140		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	13	2		0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fpampers2%2eyandex%2eru%3a2008%2f%3ffrom%3dmail%26r%3did33581980&ncrnd=87129	302	16	16	177	1001	430	0	360	7					3	5	2	193		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	7	18		0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	93.158.129.187	GET	pampers2.yandex.ru:2008	/?from=mail&r=id33581980&ncrnd=9389	302	59	54	195	942	490	15	360	7	Wed, 03 Jun 2009 12:22:22 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	254		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	93.158.129.187	GET	pampers2.yandex.ru:2008	/neo/messages_thread?d=id33854600	200	365	169	255	940	402	15	360	7	Wed, 03 Jun 2009 12:22:22 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	620		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	213.180.204.93	GET	upics.yandex.net	/get/te-us/small	302	21	21	615	352	244	0	0	0	Wed, 03 Jun 2009 12:17:22 GMT	max-age=0, proxy-revalidate			3	12	2	636		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	145	8		0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	0.0.0.0	GET	yabs.yandex.ru	/count/HgLVzjzQ_ui40X00ZhATPg84N0kL0Pi1RqWZYA1O1mQIhJwV1ugd0CO4aA1g0PIHlAYNKWMJXGsBhmor7K6CZVMWZVLu1m00?rnd=1185243126	302	22	11	608	822	521	0	360	7	Wed, 03 Jun 2009 12:17:22 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	11	2	630		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	144	2		0	0	0	0	0	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	217.73.200.222	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_mail/0	200	1198	1198	615	428	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	13	2	1813		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	8	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0		7		0	0	0	0	43	0	
06/03/2009	16:17:23	Cached-Run_1^090603_1A.pts_Step2	0.0.0.0	GET	engine.awaps.net	/0/5414/200300.gif?0-0-0-0-la:74935p:39924&rnd=1185243126	200	2271	1144	677	427	20709	20141	24	1		no-cache, no-store, must-revalidate, max-age=5	image/gif		3	18	2	2948		-1	-1	-1	1	http://pampers2.yandex.ru:2008	202	2	0	5PnhxeXFO0y6r/5oPiKQHA	9	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	4	41		0	0	0	0	20152	0	
