Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	93.158.134.24			http://pampers.yandex.ru:2006	0	3734	44	1230	14072	31416	0	0	0					0	0	0	3734		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	0	50	0	100	57	40	-1	100	100	100	95	0	0				1213	0	409	0	3227	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	93.158.134.24	POST	passport.yandex.ru	/passport?mode=auth	302	48	44	0	1098	1024	25	210	3			text/plain		3	16	1	48		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=35t1244047786RSWcNKkyo&ncrnd=106546	302	39	39	75	1077	1024	25	362	7			text/plain		3	5	1	114		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	5		0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fpampers%2eyandex%2eru%3a2006%2f%3ffrom%3dmail%26r%3did34515121&ncrnd=845130	302	14	14	135	1003	429	0	362	7					3	5	2	149		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	3		0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	213.180.193.96	GET	pampers.yandex.ru:2006	/?from=mail&r=id34515121&ncrnd=8753	302	218	210	150	942	489	15	361	7	Wed, 03 Jun 2009 16:34:46 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	368		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	213.180.193.96	GET	pampers.yandex.ru:2006	/neo/messages_thread?d=id36916929	200	671	661	370	940	402	15	361	7	Wed, 03 Jun 2009 16:34:46 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	1041		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	93.158.134.93	GET	upics.yandex.net	/get/te-us/small	302	38	38	1251	351	244	0	0	0	Wed, 03 Jun 2009 16:29:47 GMT	max-age=0, proxy-revalidate			3	11	2	1289		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	169	5		0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	0.0.0.0	GET	yabs.yandex.ru	/resource/flashldr006.js	304	14	14	1251	778	149	95	361	7					3	13	2	1265		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	129	3		0	0	0	0	0	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	217.73.200.222	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_mail/0	200	5	5	1252	427	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	12	2	1257		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	8	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0		5		0	0	0	0	43	0	
06/03/2009	20:29:47	Cached-Run_1^090603_1E.pts_Step2	0.0.0.0	GET	default.avatars.yandex.net	/it/46-small	304	13	13	1302	436	204	150	0	0					3	16	2	1315		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	PntfAiJo9E6xK50FoYG7Yw	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	9	1		0	0	0	0	0	0	
