Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	93.158.134.24			http://pampers.yandex.ru:2006	0	3445	74	1148	14073	32467	0	0	0					0	0	0	3445		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	0	50	0	100	55	40	-1	100	100	100	94	0	0				1765	0	409	0	3727	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	93.158.134.24	POST	passport.yandex.ru	/passport?mode=auth	302	77	74	0	1098	1024	25	210	3			text/plain		3	13	1	77		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=35z1244047904G6NQuHdBa&ncrnd=130985	302	41	41	98	1077	1024	25	362	7			text/plain		3	5	1	139		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	5	2		0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fpampers%2eyandex%2eru%3a2006%2f%3ffrom%3dmail%26r%3did37096636&ncrnd=547462	302	14	14	159	1003	429	0	362	7					3	5	2	173		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	1		0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	213.180.193.96	GET	pampers.yandex.ru:2006	/?from=mail&r=id37096636&ncrnd=5261	302	304	297	174	942	489	15	361	7	Wed, 03 Jun 2009 16:36:44 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	478		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	213.180.193.96	GET	pampers.yandex.ru:2006	/neo/messages_thread?d=id36962953	200	682	576	479	940	402	15	361	7	Wed, 03 Jun 2009 16:36:44 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	1161		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	77.88.21.93	GET	upics.yandex.net	/get/te-us/small	302	10	10	1367	351	244	0	0	0	Wed, 03 Jun 2009 16:31:45 GMT	max-age=0, proxy-revalidate			3	11	2	1377		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	195	3		0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	0.0.0.0	GET	yabs.yandex.ru	/resource/flashldr006.js	304	13	13	1366	778	149	95	361	7					3	13	2	1379		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	167	2		0	0	0	0	0	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	217.73.200.221	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_mail/0	200	6	6	1367	427	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	12	2	1373		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	8	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0		3		0	0	0	0	43	0	
06/03/2009	20:31:44	Cached-Run_1^090603_1F.pts_Step2	0.0.0.0	GET	default.avatars.yandex.net	/it/46-small	304	13	13	1413	436	204	150	0	0					3	16	2	1426		-1	-1	-1	1	http://pampers.yandex.ru:2006	202	1	0	x7RqWh2/xUS1SBiVOGnplA	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	32	2		0	0	0	0	0	0	
