Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	77.88.21.25			http://mail.yandex.ru	0	907	127	588	9050	70278	0	0	0					0	0	0	907	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	0	97	0	35	94	96	-1	100	80	99	19	0	0				35307	22825	8452	0	29363	60	
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	77.88.21.25	GET	mail.yandex.ru	/	200	32	27	100	529	402	15	0	0	Wed, 03 Jun 2009 06:50:22 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	1	132	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	93	3		402	0	0	0	0	0	
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/css/common.css	200	29	22	146	328	4926	4638	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	text/css		3	8	1	175	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	2	100	0	0	100	100	-1	-1	0	-1	0	0	0	5	6		4926	3116	0	0	0	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/css/mail-common.css	200	215	5	149	333	18356	18068	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	text/css		3	9	1	364	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	3	100	0	0	100	100	-1	-1	0	-1	0	0	0		3		18356	13613	0	0	0	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/css/mail-login.css	200	5	4	179	332	3171	2883	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	text/css		3	8	1	184	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	4	100	0	0	100	100	-1	-1	0	-1	0	0	0				3171	1951	0	0	0	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	passport.yandex.ru	/passport?mode=testloginjs&id39635231	200	40	38	394	334	429	36	0	0		no-cache,no-store,max-age=0,must-revalidate	application/x-javascript		3	12	1	434	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	5	-1	-1	100	100	100	-1	100	-1	-1	100	0	0	4	2		429	0	429	0	0	0	
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/modern/34154/js/index_main.js	200	5	4	451	330	2665	2361	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	application/x-javascript		3	8	1	456	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	6	100	0	0	100	100	-1	100	0	-1	0	0	0				2665	1420	2665	0	0	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/js/test_xslt.js	200	8	3	465	329	4677	4373	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	application/x-javascript		3	9	1	473	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	7	100	0	0	100	100	-1	100	0	-1	0	0	0				4677	2725	4677	0	0	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	0.0.0.0	GET	mailstatic.yandex.net	/classic/79/i/x.gif?xml=ok&xslt=ok&import=ok&transform=ok&xpath=ok&xpath2=ok&xpathres=ok&export2html=ok&time=32	200	4	4	568	411	327	43	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	image/gif		3	8	1	572	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	8	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	43	0	15552000
06/03/2009	10:45:23	Cleared Cache-Run_1^http://mail.yandex.ru	87.250.251.87	GET	mailstatic.yandex.net	/modern/34154/i//login/logo50.png	200	22	21	588	333	2236	1947	0	0	Mon, 30 Nov 2009 06:45:22 GMT	max-age=15552000	image/png		3	9	1	610	Launch	-1	-1	-1	0	http://mail.yandex.ru	202	1	0	OLXVcYvAOUSdy2mYaiC3cA	9	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1947	60	15552000
