Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	87.250.251.11			http://yandex.ru	0	913	106	578	6950	33975	0	0	0					0	0	0	913	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	0	0	0	67	46	100	-1	100	100	100	100	0	0				4079	1334	3055	0	86	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	87.250.251.11	GET	yandex.ru	/	301	15	15	91	591	481	189	57	2			text/html	gzip	3	4	1	106	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	79	8		0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	www.yandex.ru	/	200	52	47	114	659	1024	636	57	2	Wed Jun  3 07:27:10 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	7	1	166	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	2	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	5	1		1024	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a**44082241244014022**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	5	5	463	403	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	14	1	468	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	3	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	251	3		0	0	0	0	43	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/7pt1i4jdqYO40X02ZhvSOg84KPK5cm5fMeYeoxG4agWIQmUAhVcU196yq4ba1fE53OkWKeuSGNi5	302	4	4	465	442	387	0	57	2	Wed, 03 Jun 2009 07:27:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	15	1	469	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	2	2		0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/7pt1i4jdqYO40X02ZhvSOg84KPK5cm5fMeYeoxG4agWIQmUAhVcU196yq4ba1fE53OkWKeuSGNi5	302	4	4	466	389	387	0	57	2	Wed, 03 Jun 2009 07:27:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	16	1	470	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		2		0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/0M9A3sxUBSi6SZUCixmIFg.png	304	3	3	470	445	149	95	57	2					3	15	1	473	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/0M9A3sxUBSi6SZUCixmIFg.png	304	6	6	471	392	149	95	57	2					3	16	1	477	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/7pt1iC3lGDy40X00ZhvSOg84KP6yq4ba1fE53NW2=O1O0hPK2cm9jL9AYLPG7e9Ek0Ny1=zZK9NfK5cm5fMfAe4ci7Um40	200	81	78	564	460	435	0	57	2	Wed, 03 Jun 2009 07:27:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	15	1	645	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	8	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	46	46	647	712	250	196	57	2					3	19	1	693	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	34	4		0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	200	8	6	642	383	2290	2062	57	2			application/x-javascript		3	16	1	650	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	10	0	0	0	0	100	-1	100	-1	-1	100	0	0				2290	1334	2290	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/TPNiSPcsFiMsEXIUJeAkgg.swf?rnd=584265&link1=http://yabs.yandex.ru/count/7pt1i2K_TS840X00ZhvSOg84KPK2cm9jL2A8hQp_1PAYLPG7YgSLlWIHlD19P0QJXGsBfv637KAWawu1U0O0	200	58	29	717	537	25865	25631	69	2			application/x-shockwave-flash		3	15	1	775	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	11	0	0	-1	0	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/7pt1i7GORzS40X02ZhvSOg84KPK2cm9jL2A8hQp_1PAYLPG7YgSLlWIHlD19P0QJXGsBgP637K6Cawu1e9Ek0Nm6	302	10	10	744	466	409	0	69	2	Wed, 03 Jun 2009 07:27:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	16	1	754	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	12	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	front2.imho.ru	/image.ng/site=yandex.ru&adsize=1x1&pos=main.13050914.view	302	129	22	764	350	715	0	0	0	Wed, 03 Jun 2009 07:27:07 GMT	no-cache	text/html		3	22	1	893	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	13	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	4	5		0	0	0	0	0	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	front1.imho.ru	/dot.gif	200	5	5	907	300	231	43	0	0			image/gif		3	27	1	912	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	14	0	0	-1	100	-1	-1	-1	-1	100	100	0	0	3	8		0	0	0	0	43	0	
06/03/2009	11:27:11	Cached-Run_1^http://yandex.ru	0.0.0.0	GET	passport.yandex.ru	/js/smarthttps.js	200	2	2	1096	421	765	496	69	2			application/x-javascript		3	28	1	1098	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	l6ZQ/nrNZ0q8U22LnjCbwg	15	0	0	100	0	100	-1	100	-1	-1	100	0	1	8	2	186	765	0	765	0	0	0	
