Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	77.88.21.11			http://yandex.ru	0	1093	101	526	8939	41198	0	0	0					0	0	0	1093	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	0	73	0	78	66	93	-1	100	100	54	54	0	0				5020	1074	2972	0	45224	20768	
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	77.88.21.11	GET	yandex.ru	/	301	15	15	86	524	481	189	0	0			text/html	gzip	3	4	1	101	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	79	3		0	0	0	0	0	0	
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	www.yandex.ru	/	200	52	44	109	528	1024	531	0	0	Wed Jun  3 07:27:02 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	7	1	161	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	2	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	4	2		1024	0	0	0	0	0	
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	img.yandex.net	/i/www/js/_utils_0.0.1.js	200	28	2	289	317	2207	1915	0	0	Sun, 02 Aug 2009 07:27:02 GMT	max-age=5184000	text/javascript		3	20	1	317	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	3	100	0	0	100	100	-1	100	100	-1	0	0	0	70	17		2207	1074	2207	0	0	0	5184000
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_main/0	302	26	24	289	344	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	21	1	315	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	3	13		0	0	0	0	0	0	
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/TMWsDVArKkm40X02ZhPSOg84KPK5cm5fMeYeoxG4agWIQmUAhVcU196yq4ba1fE53OkWKeuSGNi5	302	21	21	289	412	387	0	27	1	Wed, 03 Jun 2009 07:27:02 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	22	1	310	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	10		0	0	0	0	0	0	
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	imgl.yandex.net	/i/www/logo1.png	200	19	4	290	309	3358	3051	0	0	Sun, 02 Aug 2009 07:27:01 GMT	max-age=5184000	image/png		3	23	1	309	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	6	100	0	-1	100	-1	-1	-1	-1	100	0	0	0	3	6		0	0	0	0	3052	0	5184000
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/arr-news-chooser.gif	200	202	20	290	315	395	108	0	0	Sun, 02 Aug 2009 07:27:02 GMT	max-age=5184000	image/gif		3	24	1	492	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	7	100	0	-1	100	100	-1	-1	-1	100	0	0	0		6		0	0	0	0	109	0	5184000
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	img-fotki.yandex.ru	/getx/10000/photoface.154/klassiksimb_179233_teaser	200	31	30	290	385	3845	3598	27	1	Sun, 02 Aug 2009 07:27:02 GMT	max-age=5184000	image/jpeg		3	25	1	321	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	8	100	0	-1	0	-1	-1	-1	-1	50	100	0	0	4	2		0	0	0	0	3598	538	5184000
06/03/2009	11:27:03	Cleared Cache-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/TMWsDVArKkm40X02ZhPSOg84KPK5cm5fMeYeoxG4agWIQmUAhVcU196yq4ba1fE53OkWKeuSGNi5	302	25	25	293	359	387	0	27	1	Wed, 03 Jun 2009 07:27:02 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	26	1	318	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	LXB21nDmikGBTcioHlFAkw	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		4		0	0	0	0	0	0	
