Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24			http://mail.yandex.ru/	0	584	47	0	4845	62943	0	0	0					0	0	0	584		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	0	66	0	59	36	83	-1	97	100	100	63	0	0				61484	24648	44585	1172	676	0	
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24	POST	passport.yandex.ru	/passport?mode=auth	200	47	47	0	861	1024	718	29	1	Wed, 03 Jun 2009 07:31:35 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html		3	16	1	47		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	1	-1	-1	100	50	0	-1	-1	-1	-1	100	0	1				1024	0	0	0	0	0	
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24	GET	passport.yandex.ru	/css/_pass.ie.css	200	19	18	62	405	15875	15571	29	1	Wed, 10 Jun 2009 07:31:35 GMT	max-age=604800	text/css		3	4	1	81		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	2	50	0	0	0	100	-1	-1	-1	-1	100	0	1		2	7	15875	11743	0	0	0	0	604800
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/_jquery.js	200	42	6	74	367	20093	19741	0	0	Fri, 12 Apr 2019 07:31:35 GMT	max-age=311040000	application/x-javascript	gzip	3	5	1	116		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	3	100	0	100	100	-1	-1	100	-1	-1	0	0	1	7	2	12	20093	0	20093	0	0	0	311040000
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/js/_common-no-frame-check.js	200	3	2	187	385	3569	3217	0	0	Fri, 12 Apr 2019 07:31:35 GMT	max-age=311040000	application/x-javascript	gzip	3	8	1	190		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	4	100	0	100	100	-1	-1	100	-1	-1	0	0	1	3	2	10	3569	0	3569	0	0	0	311040000
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24	GET	passport.yandex.ru	/js/_passport.js	200	3	3	213	405	2632	2291	29	1	Wed, 10 Jun 2009 07:31:35 GMT	max-age=604800	application/x-javascript		3	4	1	216		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	5	50	0	0	0	100	-1	100	-1	-1	100	0	1				2632	1169	2632	0	0	0	604800
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24	GET	passport.yandex.ru	/js/inbox_http.js	200	5	5	226	405	4846	4505	29	1	Wed, 10 Jun 2009 07:31:35 GMT	max-age=604800	application/x-javascript		3	4	1	231		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	6	50	0	0	0	100	-1	0	-1	-1	100	0	1				4846	2908	4846	1172	0	0	604800
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	77.88.21.24	GET	passport.yandex.ru	/pass_script.js?1	200	12	12	247	405	12680	12338	29	1	Wed, 10 Jun 2009 07:31:35 GMT	max-age=604800	application/x-javascript		3	4	1	259		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	7	50	0	0	0	100	-1	100	-1	-1	100	0	1				12680	8828	12680	0	0	0	604800
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	0.0.0.0	GET	img.yandex.ru	/i/artlebedev2004.gif	200	115	2	368	396	920	632	29	1	Sun, 02 Aug 2009 07:31:35 GMT	max-age=5184000	image/gif		3	14	1	483		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	8	100	0	-1	0	-1	-1	-1	-1	100	0	0	1	16	1	15	0	0	0	0	633	0	5184000
06/03/2009	11:31:36	Cached-Run_1^090603_T.pts_Step2	0.0.0.0	GET	clck.yandex.ru	/redir/dtype=stred/pid=8/cid=2328/path=Passport.auth/*https://img.yandex.net/i/zero.gif	302	5	5	362	463	211	5	29	1		no-cache			3	13	1	367		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	4b7clFZdX0ul1nR5uR5FSQ	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1	17	1	8	0	0	0	0	0	0	
