Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	213.180.204.24			http://mail.yandex.ru/	0	2319	82	2660	19950	397305	0	0	0					0	0	0	2319		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	0	81	0	26	78	93	-1	100	30	61	34	0	0				333840	244418	243630	0	124379	47522	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	213.180.204.24	POST	passport.yandex.ru	/passport?mode=auth	302	85	82	0	861	1024	25	28	1			text/plain		3	19	1	85		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=0Ae1244015923JWm64JFZ3&ncrnd=465854	302	29	29	108	1029	1024	25	328	6			text/plain		3	1	1	137		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	2		0	0	0	0	0	0	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did43198992&ncrnd=273931	302	14	14	157	959	421	0	328	6					3	6	2	171		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	1		0	0	0	0	0	0	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	77.88.21.25	GET	mail.yandex.ru	/?from=mail&r=id43198992&ncrnd=1140	302	35	29	173	900	481	15	327	6	Wed, 03 Jun 2009 07:43:43 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	208		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	77.88.21.25	GET	mail.yandex.ru	/neo/messages_thread?d=id25189730	200	179	174	209	898	402	15	327	6	Wed, 03 Jun 2009 07:43:43 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	388		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/css/m-ie6.css	200	87	14	393	356	66694	66405	0	0	Mon, 30 Nov 2009 07:38:43 GMT	max-age=15552000	text/css		3	8	2	480		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	6	100	0	0	100	100	-1	-1	0	-1	0	0	0				66694	53767	0	0	0	0	15552000
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/css/page-inbox.ie.css	200	90	27	393	364	16427	16139	0	0	Mon, 30 Nov 2009 07:38:43 GMT	max-age=15552000	text/css		3	9	2	483		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	7	100	0	0	100	100	-1	-1	0	-1	0	0	0				16427	12790	0	0	0	0	15552000
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/css/theme/orange/theme-page-inbox.ie.css	200	8	4	508	383	5754	5466	0	0	Mon, 30 Nov 2009 07:38:44 GMT	max-age=15552000	text/css		3	8	2	516		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	8	100	0	0	100	100	-1	-1	0	-1	0	0	0				5754	4561	0	0	0	0	15552000
06/03/2009	11:38:44	Cleared Cache-Run_1^090603_W.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/js/etc/jquery/jquery.js	200	171	8	509	366	120439	120133	0	0	Mon, 30 Nov 2009 07:38:44 GMT	max-age=15552000	application/x-javascript		3	9	2	680		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	95w4ho5l5k+fj2qOtlqsKA	9	100	0	0	100	100	-1	100	0	-1	0	0	0				120439	86093	120439	0	0	0	15552000
