Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	213.180.204.24			http://mail.yandex.ru/	0	2615	41	826	11611	22213	0	0	0					0	0	0	2615		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	0	0	0	100	46	66	-1	100	100	32	100	0	0				1213	0	409	0	16167	10851	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	213.180.204.24	POST	passport.yandex.ru	/passport?mode=auth	302	44	41	0	1045	1024	26	209	3			text/plain		3	16	1	44		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=0AX1244016068JFF_aqtpf&ncrnd=812153	302	29	29	65	1061	1024	26	360	7			text/plain		3	5	1	94		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	4	2		0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did35736547&ncrnd=206497	302	16	14	114	991	420	0	360	7					3	5	2	130		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	2		0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	87.250.251.25	GET	mail.yandex.ru	/?from=mail&r=id35736547&ncrnd=2025	302	35	29	131	931	481	15	358	7	Wed, 03 Jun 2009 07:46:08 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	166		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	87.250.251.25	GET	mail.yandex.ru	/neo/messages_thread?d=id36372144	200	181	175	167	929	402	15	358	7	Wed, 03 Jun 2009 07:46:08 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	348		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_mail/0	200	1849	1849	509	419	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	8	2	2358		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	6	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0		3		0	0	0	0	43	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	213.180.204.93	GET	upics.yandex.net	/get/te-us/small	302	85	85	2387	343	244	0	0	0	Wed, 03 Jun 2009 07:41:11 GMT	max-age=0, proxy-revalidate			3	16	2	2472		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	1878	1		0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	0.0.0.0	GET	yabs.yandex.ru	/count/RM21rHe9tKm40X00ZhIHOg84N0kL0Pi1RqWZYAZFz0MIeVE51ugXuh84aAINWQQHknaX7msJXGsBgPGn7K5w1W00?rnd=1835041237	302	292	265	2092	803	498	0	358	7	Wed, 03 Jun 2009 07:41:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	11	2	2384		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	5	1560		0	0	0	0	0	0	
06/03/2009	11:41:09	Cached-Run_1^090603_X.pts_Step2	213.180.204.51	GET	pass.yandex.ru	/services?callback=jsonp1244014870062&_=1244014871531&locale=ru&login=yes	200	19	17	2366	766	409	267	358	7			text/javascript		3	13	2	2385		-1	-1	-1	1	http://mail.yandex.ru/	202	1	0	1gjmKaQBi0+EBgdaRAj2ZA	9	0	0	100	0	0	-1	100	-1	-1	100	0	0		10		409	0	409	0	0	0	
