Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	77.88.21.24			http://mail.yandex.ru/	0	2182	62	2518	19949	397850	0	0	0					0	0	0	2182		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	0	81	0	26	78	93	-1	100	30	61	34	0	0				333856	244434	243634	0	124908	47522	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	77.88.21.24	POST	passport.yandex.ru	/passport?mode=auth	302	65	62	0	861	1024	25	28	1			text/plain		3	19	1	65		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=14V1244016044ZOFwxtr4D&ncrnd=461117	302	32	32	83	1029	1024	25	328	6			text/plain		3	1	1	115		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	4	1		0	0	0	0	0	0	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did44489577&ncrnd=237320	302	14	14	133	959	420	0	328	6					3	6	2	147		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	5	1		0	0	0	0	0	0	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	213.180.204.25	GET	mail.yandex.ru	/?from=mail&r=id44489577&ncrnd=997	302	45	39	149	899	481	15	327	6	Wed, 03 Jun 2009 07:45:44 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	194		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	213.180.204.25	GET	mail.yandex.ru	/neo/messages_thread?d=id39638422	200	206	184	195	898	402	15	327	6	Wed, 03 Jun 2009 07:45:44 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	401		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/css/m-ie6.css	200	88	15	388	356	66698	66409	0	0	Mon, 30 Nov 2009 07:40:44 GMT	max-age=15552000	text/css		3	9	2	476		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	6	100	0	0	100	100	-1	-1	0	-1	0	0	0				66698	53771	0	0	0	0	15552000
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/css/page-inbox.ie.css	200	24	17	388	364	16436	16148	0	0	Mon, 30 Nov 2009 07:40:44 GMT	max-age=15552000	text/css		3	8	2	412		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	7	100	0	0	100	100	-1	-1	0	-1	0	0	0				16436	12799	0	0	0	0	15552000
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/css/theme/orange/theme-page-inbox.ie.css	200	21	13	414	383	5753	5465	0	0	Mon, 30 Nov 2009 07:40:44 GMT	max-age=15552000	text/css		3	8	2	435		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	8	100	0	0	100	100	-1	-1	0	-1	0	0	0				5753	4560	0	0	0	0	15552000
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/js/etc/jquery/jquery.js	200	124	17	436	366	120447	120141	0	0	Mon, 30 Nov 2009 07:40:45 GMT	max-age=15552000	application/x-javascript		3	8	2	560		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	9	100	0	0	100	100	-1	100	0	-1	0	0	0				120447	86101	120447	0	0	0	15552000
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/js/lego.js	200	13	5	623	353	10410	10106	0	0	Mon, 30 Nov 2009 07:40:45 GMT	max-age=15552000	application/x-javascript		3	9	2	636		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	10	100	0	0	100	100	-1	100	0	-1	0	0	0				10410	5959	10410	0	0	0	15552000
06/03/2009	11:40:45	Cleared Cache-Run_1^090603_X.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/js_texts/ru/Mail_js.js	200	12	8	648	365	8683	8379	0	0	Mon, 30 Nov 2009 07:40:45 GMT	max-age=15552000	application/x-javascript		3	8	2	660		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	wLiLx/9uIUyof1in3jmH+A	11	100	0	0	100	100	-1	100	0	-1	0	0	0				8683	5777	8683	0	0	0	15552000
