Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	93.158.134.24			http://mail.yandex.ru/	0	2544	81	2883	19949	397190	0	0	0					0	0	0	2544		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	0	81	0	26	78	93	-1	100	30	61	34	0	0				333866	244444	243647	0	124233	47522	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	93.158.134.24	POST	passport.yandex.ru	/passport?mode=auth	302	85	81	0	861	1024	25	28	1			text/plain		3	19	1	85		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=33y1244016205GgwuXgvpW&ncrnd=586771	302	41	41	107	1029	1024	25	328	6			text/plain		3	1	1	148		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	3		0	0	0	0	0	0	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	0.0.0.0	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did39634040&ncrnd=767834	302	14	14	168	959	421	0	328	6					3	6	2	182		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	1		0	0	0	0	0	0	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	213.180.204.25	GET	mail.yandex.ru	/?from=mail&r=id39634040&ncrnd=5938	302	50	44	183	900	481	15	327	6	Wed, 03 Jun 2009 07:48:25 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	233		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	213.180.204.25	GET	mail.yandex.ru	/neo/messages_thread?d=id42161937	200	438	409	234	898	402	15	327	6	Wed, 03 Jun 2009 07:48:26 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	4	2	672		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				402	0	0	0	0	0	
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/css/page-inbox.ie.css	200	25	4	652	364	16435	16147	0	0	Mon, 30 Nov 2009 07:43:26 GMT	max-age=15552000	text/css		3	9	2	677		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	6	100	0	0	100	100	-1	-1	0	-1	0	0	0				16435	12798	0	0	0	0	15552000
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	0.0.0.0	GET	mailstatic.yandex.net	/neo/34926/css/m-ie6.css	200	137	18	652	356	66695	66406	0	0	Mon, 30 Nov 2009 07:43:26 GMT	max-age=15552000	text/css		3	8	2	789		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	7	100	0	0	100	100	-1	-1	0	-1	0	0	0				66695	53768	0	0	0	0	15552000
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/css/theme/orange/theme-page-inbox.ie.css	200	21	13	678	383	5754	5466	0	0	Mon, 30 Nov 2009 07:43:26 GMT	max-age=15552000	text/css		3	9	2	699		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	8	100	0	0	100	100	-1	-1	0	-1	0	0	0				5754	4561	0	0	0	0	15552000
06/03/2009	11:43:26	Cleared Cache-Run_1^090603_Y.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/34926/js/etc/jquery/jquery.js	200	165	28	701	366	120458	120152	0	0	Mon, 30 Nov 2009 07:43:26 GMT	max-age=15552000	application/x-javascript		3	9	2	866		-1	-1	-1	0	http://mail.yandex.ru/	202	1	0	qfYEunVoeku3x6Se7y8tZg	9	100	0	0	100	100	-1	100	0	-1	0	0	0				120458	86112	120458	0	0	0	15552000
