Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53			http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	99999	7056	237	9123	11633	1212985	0	0	0					0	0	0	7056	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	0	25	0	16	62	90	-1	36	80	59	48	0	0				1186975	992306	775364	495092	89690	36487	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53	GET	mail-speedup.html.cloudkill.yandex.ru:8096	/neo/_static/inbox/etalon.html	200	494	31	205	586	1024	807	0	0			text/html		3	4	1	699	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	1	-1	-1	100	100	100	-1	-1	-1	-1	0	0	0	198	3		1024	0	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53	GET	mail-speedup.html.cloudkill.yandex.ru:8096	/neo/_static/css/_m-ie6.css	200	605	160	465	405	317135	316908	0	0			text/css		3	6	1	1070	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	2	0	0	0	100	100	-1	-1	0	-1	100	0	0		13		317135	277770	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53	GET	mail-speedup.html.cloudkill.yandex.ru:8096	/neo/_static/css/_page-inbox.ie.css	200	242	64	702	413	74557	74322	0	0			text/css		3	4	1	944	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	3	0	0	0	100	100	-1	-1	0	-1	100	0	0				74557	64487	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53	GET	mail-speedup.html.cloudkill.yandex.ru:8096	/neo/_static/css/theme/green/_theme-page-inbox.ie.css	200	142	131	1103	431	18895	18642	0	0			text/css		3	4	1	1245	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	4	0	0	0	100	100	-1	-1	0	-1	100	0	0				18895	16470	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.53	GET	mail-speedup.html.cloudkill.yandex.ru:8096	/neo/_static/js/_inbox.js	200	1173	194	1104	403	775177	774945	0	0			text/javascript		3	6	1	2277	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	5	0	0	0	100	100	-1	0	0	-1	100	0	0				775177	633579	775177	495092	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.96	GET	pampers.yandex.ru:2012	/neo/_static/i/progress.gif	503	19	19	3246	385	317	76	0	0			text/plain		3	14	1	3265	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	5	2		0	0	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-logo/b-head-logo.png	200	7	6	3245	403	1689	1400	0	0	Sat, 13 Apr 2019 07:50:28 GMT	max-age=311040000	image/png		3	12	1	3252	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	7	100	0	-1	100	100	-1	-1	-1	100	0	0	0	4	2		0	0	0	0	1400	0	311040000
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	0.0.0.0	GET	pampers.yandex.ru:2012	/neo/_static/i/loader.gif	503	12	12	3246	383	317	76	0	0			text/plain		3	13	1	3258	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		2		0	0	0	0	0	0	
06/04/2009	11:50:26	Cleared Cache-Run_1^http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	213.180.193.96	GET	pampers.yandex.ru:2012	/neo/_static/i/ico-close.gif	503	17	17	3263	386	317	76	0	0			text/plain		3	16	1	3280	Launch	-1	-1	-1	0	http://mail-speedup.html.cloudkill.yandex.ru:8096/neo/_static/inbox/etalon.html	202	1	0	YZsVGKyKrUeFJm2N+kc5Pg	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		3		0	0	0	0	0	0	
