Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7			http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0	23823	111	23573	4067	10747	0	0	0					0	0	0	23823	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	0	0	0	100	94	0	-1	-1	100	92	100	0	0				1024	0	0	0	8222	617	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7	GET	zelo.yandex.ru	/test-direct-show/yandsearch-old.html	200	30	24	87	565	1024	776	0	0			text/html	gzip	3	4	1	117	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	80	3		1024	0	0	0	0	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1071/*http://www.yandex.ru/	200	13	13	23557	385	131	43	0	0		no-cache	image/gif		3	8	1	23570	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	2	-1	-1	-1	100	0	-1	-1	-1	-1	100	0	0	23410	3		0	0	0	0	0	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	304	7	7	23779	684	250	196	0	0					3	19	1	23786	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	112	8		0	0	0	0	0	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	im3-tub.yandex.net	/i?id=32145730&tov=3	200	35	33	23781	403	8320	8136	0	0			image/jpeg		3	20	1	23816	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	4	0	0	-1	100	-1	-1	-1	-1	100	100	0	0	12	6		0	0	0	0	8136	617	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	200	36	36	23781	423	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	21	1	23817	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	5	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	5	4		0	0	0	0	43	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	87.250.251.36	GET	favicon.yandex.net	/favicon/www.taxiglobal.ru	304	32	32	23785	409	151	97	0	0					3	23	1	23817	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	4	6		0	0	0	0	0	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	favicon.yandex.net	/favicon/www.taxi-t.ru	304	7	7	23783	405	151	97	0	0					3	22	1	23790	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		3		0	0	0	0	0	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	77.88.21.14	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1072/*http://www.yandex.ru/	200	36	33	23786	385	131	43	0	0		no-cache	image/gif		3	24	1	23822	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	8	-1	-1	-1	100	0	-1	-1	-1	100	100	0	0		6		0	0	0	0	43	0	
06/04/2009	17:00:58	Cached-Run_4^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	favicon.yandex.net	/favicon/www.taxi-reno.ru	304	30	30	23790	408	151	97	0	0					3	22	1	23820	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	OOK+z7V5kEC92IrQ/jR7+w	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
