Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7			http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0	21910	111	21804	3682	10616	0	0	0					0	0	0	21910	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	0	0	0	100	94	0	-1	-1	100	92	100	0	0				1024	0	0	0	8222	617	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7	GET	zelo.yandex.ru	/test-direct-show/yandsearch-old.html	200	30	25	86	565	1024	776	0	0			text/html	gzip	3	4	1	116	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	79	3		1024	0	0	0	0	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1071/*http://www.yandex.ru/	0	0	0	21849	0	0	0	0	0					3	18	1	21849	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	203	13		0	0	0	0	0	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	304	23	23	21849	684	250	196	0	0					3	19	1	21872	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	169	10		0	0	0	0	0	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	im3-tub.yandex.net	/i?id=32145730&tov=3	200	49	46	21859	403	8320	8136	0	0			image/jpeg		3	24	1	21908	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	4	0	0	-1	100	-1	-1	-1	-1	100	100	0	0	7	15		0	0	0	0	8136	617	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	200	44	44	21860	423	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	21	1	21904	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	5	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	6	13		0	0	0	0	43	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.36	GET	favicon.yandex.net	/favicon/www.taxiglobal.ru	304	17	17	21860	409	151	97	0	0					3	20	1	21877	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	6	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	4	11		0	0	0	0	0	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	favicon.yandex.net	/favicon/www.taxi-t.ru	304	17	17	21860	405	151	97	0	0					3	22	1	21877	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		11		0	0	0	0	0	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	77.88.21.14	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1072/*http://www.yandex.ru/	200	46	42	21860	385	131	43	0	0		no-cache	image/gif		3	23	1	21906	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	8	-1	-1	-1	100	0	-1	-1	-1	100	100	0	0		11		0	0	0	0	43	0	
06/04/2009	17:36:16	Cached-Run_1^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.36	GET	favicon.yandex.net	/favicon/www.taxi-reno.ru	304	30	30	21877	408	151	97	0	0					3	20	1	21907	Launch	-1	-1	-1	1	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	lOkrFm5nQ0u3wXBds8+TcQ	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
