Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7			http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0	4236	132	3859	9487	58794	0	0	0					0	0	0	4236	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	0	52	0	34	98	66	-1	100	90	96	64	0	0				38643	25130	13688	0	15567	617	
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	95.108.142.7	GET	zelo.yandex.ru	/test-direct-show/yandsearch-old.html	200	97	35	97	565	1024	776	0	0			text/html	gzip	3	4	1	194	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	84	9		1024	0	0	0	0	0	
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp.ie.css	200	233	15	195	357	22907	22619	0	0	Sun, 07 Jun 2009 13:38:44 GMT	max-age=259200	text/css		3	8	1	428	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	2	50	0	0	100	0	-1	-1	100	-1	0	0	0	10	19		22907	17302	0	0	0	0	259200
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.45	GET	css.yandex.net	/css/search/r13/_serp.js	200	218	17	196	353	12183	11889	0	0	Sun, 07 Jun 2009 13:38:44 GMT	max-age=259200	text/javascript		3	9	1	414	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	3	50	0	0	100	100	-1	100	0	-1	0	0	0		20		12183	7295	12183	0	0	0	259200
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.45	GET	css.yandex.net	/css/search/r13/_nahodki.js	200	154	10	458	356	1505	1213	0	0	Sun, 07 Jun 2009 13:38:44 GMT	max-age=259200	text/javascript		3	9	1	612	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	4	50	0	0	100	100	-1	100	0	-1	0	0	0				1505	533	1505	0	0	0	259200
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	213.180.204.14	GET	clck.yandex.ru	/click/dtype=stred/pid=1/cid=1071/*http://www.yandex.ru/	200	808	12	854	385	131	43	0	0		no-cache	image/gif		3	27	1	1662	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	5	-1	-1	-1	100	0	-1	-1	-1	100	100	0	0	142	82		0	0	0	0	44	0	
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	1366	1220	855	347	1688	1399	0	0	Mon, 03 Aug 2009 13:38:45 GMT	max-age=5184000	image/png		3	28	1	2221	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	6	100	0	-1	100	0	-1	-1	-1	100	0	0	0	11	71		0	0	0	0	1400	0	5184000
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	3034	3034	855	398	638	349	0	0	Sat, 13 Apr 2019 13:38:45 GMT	max-age=311040000	image/png		3	29	1	3889	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	7	100	0	-1	100	0	-1	-1	-1	100	0	0	0	13	57		0	0	0	0	349	0	311040000
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	200	3192	3030	855	620	1024	762	0	0			text/html	gzip	3	30	1	4047	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	8	-1	-1	100	100	-1	-1	-1	-1	-1	0	0	0	14	43		1024	0	0	0	0	0	
06/04/2009	17:38:45	Cleared Cache-Run_9^http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	0.0.0.0	GET	im3-tub.yandex.net	/i?id=32145730&tov=3	200	3379	3184	856	353	8320	8135	0	0			image/jpeg		3	31	1	4235	Launch	-1	-1	-1	0	http://zelo.yandex.ru/test-direct-show/yandsearch-old.html	202	1	0	YFxmQbEvuEyDIT+q0EUuEw	9	0	0	-1	100	-1	-1	-1	-1	100	100	0	0	15	28		0	0	0	0	8136	617	
