Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	93.158.134.69			http://yandex.ru/yandsearch?text=Nokia%20N70	99999	1791	225	557	7676	33094	0	0	0					0	0	0	1791	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	0	0	0	30	57	-1	-1	100	100	100	100	0	0				24558	16950	24558	0	5507	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	93.158.134.69	GET	export.yandex.ru	/geoselectorData.xml	200	125	35	190	573	24558	24273	176	2	Fri, 05 Jun 2009 12:00:39 GMT	max-age=0, proxy-revalidate	text/javascript		3	5	1	315	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	1	0	0	0	0	-1	-1	100	100	-1	100	0	0	169	16		24558	16950	24558	0	0	0	0
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	css.yandex.net	/n.gif	404	5	5	1625	321	479	345	0	0			text/html		3	25	1	1630	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	1130	140		0	0	0	0	0	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	im5-tub.yandex.net	/i?id=55168306&tov=5	200	88	6	1625	389	5562	5377	0	0			image/jpeg		3	26	1	1713	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	3	0	0	-1	100	-1	-1	-1	-1	100	100	0	0	21	119		0	0	0	0	5378	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	304	9	9	1626	856	250	196	176	2					3	28	1	1635	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	37	101		0	0	0	0	0	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	yabs.yandex.ru	/count/SQ7GxrC8jIq40X00ZhoDaA84KfK4cm5kK2A8feXN0Oc9U9AYcYW2Ygy6Jm6D0P6teZVd38-u9i-g0f-twg_N3fE53Oki81i5GNq7?1906430191	302	6	6	1626	619	396	0	176	2	Fri, 05 Jun 2009 12:00:41 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	27	1	1632	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	116		0	0	0	0	0	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	yandex.tns-counter.ru	/V13a****yandex_ru/ru/UTF-8/tmsec=yandex_media3/	200	34	34	1627	412	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	30	1	1661	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	6	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	38	78		0	0	0	0	43	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	bscork.yandex.ru	/su/	302	10	10	1627	775	194	0	176	2					3	29	1	1637	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	98		0	0	0	0	0	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	200	45	45	1628	409	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	32	1	1673	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	8	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	81	17		0	0	0	0	43	0	
06/05/2009	16:00:36	Cached-Run_1^http://yandex.ru/yandsearch?text=Nokia%20N70	0.0.0.0	GET	video-tub.yandex.ru	/i?&tov=0&id=9862238	304	22	22	1627	589	48	-6	176	2					3	31	1	1649	Launch	-1	-1	-1	1	http://yandex.ru/yandsearch?text=Nokia%20N70	202	1	0	wzBGURSZhUKgU5KGoRTdOw	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	74		0	0	0	0	0	0	
