Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.11			http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	99999	2768	178	1659	13505	146383	0	0	0					0	0	0	2768	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	0	52	0	47	77	83	-1	100	60	69	66	0	0				97629	50970	67300	0	41005	12699	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.11	GET	yandex.ru	/yandsearch?text=www.pogoda.spb.ru	200	234	18	159	557	453	22	0	0	Fri, 05 Jun 2009 13:01:07 GMT	private, max-age=3600	text/html	gzip	3	4	1	393	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	152	3		453	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.ie.css	200	39	13	419	358	27828	27541	0	0	Mon, 08 Jun 2009 12:01:07 GMT	max-age=259200	text/css		3	9	1	458	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	2	50	0	0	100	100	-1	-1	100	-1	0	0	0	5	17		27828	21090	0	0	0	0	259200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	export.yandex.ru	/geoselectorData.xml	200	65	59	420	379	24575	24290	26	1	Fri, 05 Jun 2009 12:01:07 GMT	max-age=0, proxy-revalidate	text/javascript		3	10	1	485	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	3	0	0	0	0	-1	-1	100	0	-1	100	0	0	16	1		24575	16967	24575	0	0	0	0
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/jquery.min.js	200	43	13	508	354	20081	19729	0	0	Sun, 14 Apr 2019 12:01:07 GMT	max-age=311040000	application/x-javascript	gzip	3	13	1	551	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	4	100	0	100	100	100	-1	100	0	-1	0	0	0	3	2		20081	0	20081	0	0	0	311040000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	js.static.yandex.net	/jquery/cookie/1.0/jquery.cookie.min.js	200	9	9	591	366	945	594	0	0	Sun, 14 Apr 2019 12:01:08 GMT	max-age=311040000	application/x-javascript	gzip	3	13	1	600	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	5	100	0	100	100	100	-1	100	0	-1	0	0	0				945	0	945	0	0	0	311040000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	img.yandex.net	/jquery/jsonrpc/0.0.2/jquery.jsonrpc.min.js	200	126	12	622	364	932	639	0	0	Tue, 04 Aug 2009 12:01:08 GMT	max-age=5184000	text/javascript		3	16	1	748	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	6	100	0	100	100	100	-1	100	0	-1	0	0	0	3	1		932	0	932	0	0	0	5184000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.js	200	416	2	762	354	20767	20474	0	0	Mon, 08 Jun 2009 12:01:08 GMT	max-age=259200	text/javascript		3	9	1	1178	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	7	50	0	0	100	100	-1	100	0	-1	0	0	0				20767	12913	20767	0	0	0	259200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	256	255	1276	339	1689	1400	0	0	Tue, 04 Aug 2009 12:01:08 GMT	max-age=5184000	image/png		3	16	1	1532	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	8	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1400	0	5184000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	css.yandex.net	/n.gif	404	258	258	1294	327	479	345	0	0			text/html		3	9	1	1552	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	12	11	1549	390	638	349	0	0	Sun, 14 Apr 2019 12:01:08 GMT	max-age=311040000	image/png		3	31	1	1561	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	10	100	0	-1	100	0	-1	-1	-1	100	0	0	0	5	247		0	0	0	0	349	0	311040000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	87.250.251.63	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	200	12	12	1556	648	1024	762	26	1			text/html	gzip	3	38	1	1568	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	11	-1	-1	100	50	-1	-1	-1	-1	-1	0	0	0	227	31		1024	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/cl.gif	200	1052	1052	1549	373	284	73	26	1			image/gif		3	32	1	2601	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	12	0	0	-1	0	100	-1	-1	-1	100	100	0	0	6	240		0	0	0	0	73	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.91	GET	yabs.yandex.ru	/count/PVUaig5e_ky40X00ZhEGaA84KfK2cmTiFoq1YAbEz0MIhKw51ugYRB84ZG6Ge1y2tf6xdWdv0fE53Oka8ouTGNm6?rnd=1710728370	302	14	9	1549	467	498	0	26	1	Fri, 05 Jun 2009 12:01:08 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	33	1	1563	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	13	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		239		0	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	93.158.134.60	GET	im4-tub.yandex.net	/i?id=36104759&tov=4	200	1028	14	1557	345	14462	14276	0	0			image/jpeg		3	39	1	2585	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	14	0	0	-1	100	-1	-1	-1	-1	0	100	0	0	218	28		0	0	0	0	14277	8114	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.44	GET	img.yandex.net	/i/trash.gif	200	1044	13	1556	333	1198	910	0	0	Tue, 04 Aug 2009 12:01:08 GMT	max-age=5184000	image/gif		3	41	1	2600	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	15	100	0	-1	100	0	-1	-1	-1	100	0	0	0		30		0	0	0	0	911	0	5184000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	bscork.yandex.ru	/su/	302	20	9	1557	631	422	0	26	1					3	40	1	1577	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	16	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	27		0	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	217.73.200.222	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	302	43	33	1559	373	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	42	1	1602	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	17	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	19	10		0	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.36	GET	favicon.yandex.net	/favicon/www.pogoda.spb.ru	200	33	32	1563	351	901	621	0	0	Sat, 13 Jun 2009 12:01:08 GMT	max-age=691200	image/png		3	43	1	1596	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	18	50	0	-1	100	100	-1	-1	-1	100	100	0	0	4	8		0	0	0	0	621	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	favicon.yandex.net	/favicon/www.programmer.spb.ru	200	43	38	1566	355	1061	781	0	0	Sat, 13 Jun 2009 12:01:08 GMT	max-age=691200	image/png		3	44	1	1609	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	19	50	0	-1	100	100	-1	-1	-1	100	100	0	0		11		0	0	0	0	781	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	77.88.21.96	GET	lego.static.yandex.net	/2.0/common/block/b-dropdown/arrow/b-dropdown.arrow1.png	200	44	43	1567	303	1024	734	0	0	Sun, 14 Apr 2019 12:01:08 GMT	max-age=311040000	image/png		3	45	1	1611	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	20	100	0	-1	100	0	-1	-1	-1	100	0	0	0		10		0	0	0	0	1468	0	311040000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/KIeooBqtRROr9QkVpHu3XA.jpg	200	1026	53	1564	426	17593	17378	59	2			image/jpeg		3	33	1	2590	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	21	0	0	-1	0	100	-1	-1	-1	50	100	0	0				0	0	0	0	17378	4585	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/fc02.html	200	8	8	2605	827	1024	796	209	3			text/html		3	33	1	2613	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	22	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				1024	0	0	0	0	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	217.73.200.222	GET	www.tns-counter.ru	/V13b****yandex_ru/ru/CP1251/tmsec=yandex_serp/0	200	25	25	2587	415	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	47	1	2612	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	23	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		983		0	0	0	0	43	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.36	GET	favicon.yandex.net	/favicon/imadina.ya.ru	200	225	225	2385	347	549	269	0	0	Sat, 13 Jun 2009 12:01:10 GMT	max-age=691200	image/png		3	43	1	2610	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	24	50	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	269	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	favicon.yandex.net	/favicon/www.biga.ru	200	24	24	2587	345	542	262	0	0	Sat, 13 Jun 2009 12:01:10 GMT	max-age=691200	image/png		3	44	1	2611	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	25	50	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	262	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	img.yandex.ru	/i/tb.png	200	154	3	2613	548	1332	1045	209	3	Tue, 04 Aug 2009 12:01:10 GMT	max-age=5184000	image/png		3	50	1	2767	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	26	100	0	-1	0	-1	-1	-1	-1	100	0	0	0	17	8		0	0	0	0	1046	0	5184000
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.36	GET	favicon.yandex.net	/favicon/goods.spb-spb.ru	200	6	6	2615	350	715	435	0	0	Sat, 13 Jun 2009 12:01:10 GMT	max-age=691200	image/png		3	43	1	2621	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	27	50	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	435	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	favicon.yandex.net	/favicon/forum.dlink.ru	200	7	7	2615	348	229	43	0	0			image/gif		3	44	1	2622	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	28	0	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	43	0	
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	213.180.204.36	GET	favicon.yandex.net	/favicon/tcy.in	200	41	39	2622	340	1061	781	0	0	Sat, 13 Jun 2009 12:01:10 GMT	max-age=691200	image/png		3	43	1	2663	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	29	50	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	781	0	691200
06/05/2009	16:01:04	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	0.0.0.0	GET	favicon.yandex.net	/favicon/dbd.ru	200	45	45	2623	340	484	204	0	0	Sat, 13 Jun 2009 12:01:10 GMT	max-age=691200	image/png		3	44	1	2668	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.pogoda.spb.ru	202	1	0	z9/GW3/kQ0a9YwYawcPwrw	30	50	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	204	0	691200
