Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	213.180.204.3			http://www.yandex.ru	0	1142	180	445	7362	13721	0	0	0					0	0	0	1142	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	0	16	33	100	53	100	-1	100	100	100	100	0	0				1789	0	765	0	850	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	213.180.204.3	GET	www.yandex.ru	/	200	56	49	131	673	1024	636	71	2	Fri Jun  5 12:02:43 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	4	1	187	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	1	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	124	3		1024	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a**2139523861244203355**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	6	6	319	405	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	11	1	325	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	2	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	87	4		0	0	0	0	43	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/GTTwtuBvuAK40X02ZhEMaA84KPK5cm5fMeYehKG3agF8gGUAg9ND196yq4ba1fE53Okhqk8TGNi5	302	4	4	321	456	387	0	71	2	Fri, 05 Jun 2009 12:02:43 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	12	1	325	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	3		0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/GTTwtuBvuAK40X02ZhEMaA84KPK5cm5fMeYehKG3agF8gGUAg9ND196yq4ba1fE53Okhqk8TGNi5	302	5	5	322	403	387	0	71	2	Fri, 05 Jun 2009 12:02:43 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	13	1	327	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		3		0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/ES7LtI5kTNPHtZDa6NkOQQ.png	304	2	2	326	459	149	95	71	2					3	12	1	328	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/ES7LtI5kTNPHtZDa6NkOQQ.png	304	5	5	327	406	149	95	71	2					3	13	1	332	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/GTTwtrR2xbS40X00ZhEMaA84KP6yq4ba1fE53NW2=lezL7fK2cm9jL9Acbva7e9nm0Ny1=Nt082fK5cm5fMfAZoAa7Um40	200	147	94	416	474	443	0	71	2	Fri, 05 Jun 2009 12:02:43 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	12	1	563	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	7	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	93.158.134.63	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	13	13	480	726	250	196	71	2					3	16	1	493	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	36	2		0	0	0	0	0	0	
06/05/2009	16:02:39	Cached-Run_3^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	304	31	31	478	447	149	95	71	2					3	13	1	509	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	qmaqJoER6EWszBl3sLHx0Q	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
