Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	213.180.204.11			http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	99999	2690	106	1510	14112	131420	0	0	0					0	0	0	2690		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	0	57	0	47	85	87	-1	100	60	96	61	0	0				97605	50946	67282	0	25955	994	
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	213.180.204.11	GET	yandex.ru	/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	200	469	19	87	576	453	22	0	0	Fri, 05 Jun 2009 15:15:15 GMT	private, max-age=3600	text/html	gzip	3	4	1	556		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	80	3		453	0	0	0	0	0	
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.ie.css	200	70	13	613	377	27822	27535	0	0	Mon, 08 Jun 2009 14:15:15 GMT	max-age=259200	text/css		3	9	1	683		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	2	50	0	0	100	100	-1	-1	100	-1	0	0	0	4	47		27822	21084	0	0	0	0	259200
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	213.180.204.69	GET	export.yandex.ru	/geoselectorData.xml	200	50	22	615	398	24560	24275	26	1	Fri, 05 Jun 2009 14:15:15 GMT	max-age=0, proxy-revalidate	text/javascript		3	4	1	665		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	3	0	0	0	0	-1	-1	100	0	-1	100	0	0	46	2		24560	16952	24560	0	0	0	0
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	js.static.yandex.net	/jquery/1.3.2/jquery.min.js	200	53	17	721	373	20081	19729	0	0	Sun, 14 Apr 2019 14:15:15 GMT	max-age=311040000	application/x-javascript	gzip	3	12	1	774		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	4	100	0	100	100	100	-1	100	0	-1	0	0	0	4	2		20081	0	20081	0	0	0	311040000
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	js.static.yandex.net	/jquery/cookie/1.0/jquery.cookie.min.js	200	6	6	820	385	945	594	0	0	Sun, 14 Apr 2019 14:15:15 GMT	max-age=311040000	application/x-javascript	gzip	3	12	1	826		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	5	100	0	100	100	100	-1	100	0	-1	0	0	0				945	0	945	0	0	0	311040000
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	img.yandex.net	/jquery/jsonrpc/0.0.2/jquery.jsonrpc.min.js	200	122	12	857	383	932	639	0	0	Tue, 04 Aug 2009 14:15:15 GMT	max-age=5184000	text/javascript		3	15	1	979		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	6	100	0	100	100	100	-1	100	0	-1	0	0	0	3	1		932	0	932	0	0	0	5184000
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp-internal.js	200	222	2	991	373	20764	20471	0	0	Mon, 08 Jun 2009 14:15:15 GMT	max-age=259200	text/javascript		3	9	1	1213		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	7	50	0	0	100	100	-1	100	0	-1	0	0	0				20764	12910	20764	0	0	0	259200
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	137	136	1262	358	1689	1400	0	0	Tue, 04 Aug 2009 14:15:15 GMT	max-age=5184000	image/png		3	15	1	1399		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	8	100	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1400	0	5184000
06/05/2009	18:15:09	Cleared Cache-Run_1^090605_31.pts_launch	0.0.0.0	GET	css.yandex.net	/n.gif	404	164	164	1262	346	479	345	0	0			text/html		3	9	1	1426		-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%9C%D0%B0%D1%88%D0%B8%D0%BD%D0%B0	202	1	0	X2bwP467DEew9Xd6Mn87BQ	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
