Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	216.239.59.104			http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	0	1059	375	791	5863	38889	0	0	0					0	0	0	1059	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	0	80	100	100	33	100	-1	100	100	100	100	0	0				7119	0	6095	0	29934	0	
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	216.239.59.104	GET	google.ru	/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	301	116	116	259	566	564	264	0	0	Sun, 05 Jul 2009 15:41:21 GMT	public, max-age=2592000	text/html		3	4	1	375	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	177	78		0	0	0	0	0	0	
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	0.0.0.0	GET	www.google.ru	/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	200	256	72	432	570	1024	376	0	0	-1	private, max-age=0	text/html	gzip	3	7	1	688	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	2	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	4	52		1024	0	0	0	0	0	
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	209.85.129.147	GET	www.google.ru	/images/nav_logo4.png	200	231	176	752	577	7362	7119	213	2	Sat, 05 Jun 2010 15:41:22 GMT	public, max-age=31536000	image/png		3	9	1	983	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	3	100	100	-1	0	100	-1	-1	-1	100	100	0	0		52		0	0	0	0	7121	0	31536000
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	209.85.129.99	GET	news.google.ru	/news?q=%D0%BA%D0%B8%D0%BD%D0%BE%D1%82%D0%B5%D0%B0%D1%82%D1%80&hl=ru&um=1&ie=UTF-8&imgefp=0WXx1xCTelwJ&imgurl=images.unian.net/photos/2009_06/1243854367.jpg	200	74	73	879	713	2194	1948	213	2	Fri, 12 Jun 2009 15:41:22 GMT	public, max-age=604800	image/jpeg		3	12	1	953	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	4	50	100	-1	0	-1	-1	-1	-1	100	100	0	0	68	51		0	0	0	0	1948	0	604800
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	0.0.0.0	GET	www.google.ru	/mapdata?CxXYKFMDHQqFPwIgEQwLFbSSUgMd3_E9AiASDAsViNZSAx2hZT4CIBMMCxV8jVEDHbK6PgIgFAwLFby5UwMdrEo-AiAVDAsVOyFRAx1YrT4CIBYMCxXq7FQDHbfMPQIgFwwLFZq3UAMdckY8AiAYDAsV3JVSAx0ldz0CIBkMCxVKcFMDHTLxOwIgGgwLFbYxUQMdoZM6AiAkDAsVLFRTAx0NZT0CICQMCxVKHVEDHaSmPwIgJAwLFdyXUgMdsjA-AiAkDAsV3uJSAx3_jT4CICQMCxVMIFMDHW8aPwIgJAwLFa62UgMddMM9AiAkDAsVK6VSAx1VZD4CICQMCxUCa1IDHQNNPgIgJAwLFU3pUQMdbUFAAiAkDECqAUjcAVICUlXKAQJydQ	200	231	69	827	959	20844	20643	213	2	Sat, 06 Jun 2009 15:41:22 GMT	public, max-age=86400	image/gif		3	7	1	1058	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	5	50	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	20651	0	86400
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	209.85.129.147	GET	www.google.ru	/mapfiles/tiny_marker.gif	200	53	52	985	581	466	214	213	2	Sat, 05 Jun 2010 15:35:22 GMT	public, max-age=31536000	image/gif		3	9	1	1038	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	6	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	214	0	31536000
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	209.85.129.147	GET	www.google.ru	/extern_js/f/CgJydRICcnUrMAo4G0ABLCswDjgFLCswFjgKLCswFzgBLCswGDgELCswJTjJiAEsKzAmOAQsKzAnOAAs/03GMdWh3OJw.js	200	134	76	1040	664	6095	5810	213	2	Fri, 04 Jun 2010 00:00:00 GMT	private, x-gzip-ok=""	text/javascript	gzip	3	9	1	1174	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	7	100	100	100	0	100	-1	100	-1	-1	100	0	0				6095	0	6095	0	0	0	
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	0.0.0.0	GET	www.google.ru	/csi?v=3&s=web&action=&tran=undefined&ei=oTwpSoiNKMSK_QbT_rjxCg&e=17259,20572&rt=prt.110,ol.375,xjs.500	204	99	99	1199	659	215	0	213	2	Wed, 17 Sep 1975 21:32:10 GMT	private, no-cache	text/html		3	7	0	1298	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/05/2009	19:41:16	Cleared Cache-Run_1^http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	0.0.0.0	GET	clients1.google.ru	/generate_204	204	62	62	1298	574	125	0	213	2			text/html		3	15	0	1360	Launch	-1	-1	-1	0	http://google.ru/search?q=%EA%E8%ED%EE%F2%E5%E0%F2%F0&hl=ru	202	1	0	YCt6p/TxakS/UK6V6COs6g	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	6	52		0	0	0	0	0	0	
