Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	216.239.59.104			http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	0	1089	278	756	6621	42817	0	0	0					0	0	0	1089	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	0	92	100	100	27	100	-1	100	100	100	100	0	0				7120	0	6096	0	33350	0	
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	216.239.59.104	GET	google.ru	/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	301	115	115	163	560	552	258	0	0	Sun, 05 Jul 2009 15:42:03 GMT	public, max-age=2592000	text/html		3	4	1	278	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	80	78		0	0	0	0	0	0	
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	0.0.0.0	GET	www.google.ru	/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	200	405	89	336	564	1024	381	0	0	-1	private, max-age=0	text/html	gzip	3	7	1	741	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	2	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	4	52		1024	0	0	0	0	0	
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	209.85.129.104	GET	www.google.ru	/images/nav_logo4.png	200	119	64	795	571	7370	7119	213	2	Sat, 05 Jun 2010 15:41:58 GMT	public, max-age=31536000	image/png		3	9	1	914	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	3	100	100	-1	0	100	-1	-1	-1	100	100	0	0		52		0	0	0	0	7121	0	31536000
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	0.0.0.0	GET	www.google.ru	/mapdata?CxV9w1IDHfQ-PgIgEQwLFQTNUgMdGys-AiASDAsVU_NSAx31Pz4CIBMMCxXu0VIDHeIjPgIgJAwLFX3XUgMdAh8-AiAkDAsVJ9RSAx3bKD4CICQMCxXq3lIDHd4jPgIgJAwLFb3bUgMdZio-AiAkDAsVjM9SAx2UHj4CICQMCxVl1VIDHX8mPgIgJAxAqgFIyAFSAlJVygECcnU	200	223	127	757	766	21995	21794	213	2	Sat, 06 Jun 2009 15:42:04 GMT	public, max-age=86400	image/gif		3	7	1	980	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	4	50	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	21800	0	86400
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	209.85.129.104	GET	www.google.ru	/mapfiles/iconA.png	200	58	56	915	569	1666	1413	213	2	Sat, 05 Jun 2010 15:35:22 GMT	public, max-age=31536000	image/png		3	9	1	973	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	5	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	1413	0	31536000
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	209.85.129.104	GET	www.google.ru	/mapfiles/iconB.png	200	57	55	975	569	1654	1401	213	2	Sat, 05 Jun 2010 15:35:22 GMT	public, max-age=31536000	image/png		3	9	1	1032	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	6	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	1401	0	31536000
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	0.0.0.0	GET	www.google.ru	/mapfiles/iconC.png	200	56	54	981	569	1654	1401	213	2	Sat, 05 Jun 2010 15:35:22 GMT	public, max-age=31536000	image/png		3	7	1	1037	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	7	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	1401	0	31536000
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	209.85.129.104	GET	www.google.ru	/mapfiles/tiny_marker.gif	200	55	53	1033	575	466	214	213	2	Sat, 05 Jun 2010 15:35:22 GMT	public, max-age=31536000	image/gif		3	9	1	1088	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	8	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	214	0	31536000
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	0.0.0.0	GET	www.google.ru	/extern_js/f/CgJydRICcnUrMAo4G0ABLCswDjgFLCswFjgKLCswFzgBLCswGDgELCswJTjJiAEsKzAmOAQsKzAnOAAs/03GMdWh3OJw.js	200	135	75	1037	658	6096	5811	213	2	Fri, 04 Jun 2010 00:00:00 GMT	private, x-gzip-ok=""	text/javascript	gzip	3	7	1	1172	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	9	100	100	100	0	100	-1	100	-1	-1	100	0	0				6096	0	6096	0	0	0	
06/05/2009	19:41:59	Cleared Cache-Run_1^http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	209.85.129.104	GET	www.google.ru	/csi?v=3&s=web&action=&tran=undefined&ei=zDwpSt3YBdTDsgasj-3cCQ&e=20572,20721&rt=prt.94,ol.422,xjs.500	204	86	86	1198	652	215	0	213	2	Wed, 17 Sep 1975 21:32:10 GMT	private, no-cache	text/html		3	9	0	1284	Launch	-1	-1	-1	0	http://google.ru/search?q=%EB%F3%E1%FF%ED%EA%E0&hl=ru	202	1	0	Fz7FWe080k2B3hwZWdkI6g	10	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
