Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	77.88.21.11			http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0	1442	105	836	14368	69344	0	0	0					0	0	0	1442	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	0	64	0	32	88	86	-1	100	100	74	58	0	0				36567	24599	12184	0	25769	6587	
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	77.88.21.11	GET	yandex.ru	/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	200	295	18	87	648	453	22	0	0	Fri, 05 Jun 2009 16:51:43 GMT	private, max-age=3600	text/html	gzip	3	4	1	382	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	80	2		453	0	0	0	0	0	
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp.ie.css	200	161	2	384	440	22906	22620	0	0	Mon, 08 Jun 2009 15:51:43 GMT	max-age=259200	text/css		3	8	1	545	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	2	50	0	0	100	0	-1	-1	100	-1	0	0	0	6	19		22906	17303	0	0	0	0	259200
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	213.180.204.45	GET	css.yandex.net	/css/search/r13/_serp.js	200	180	4	384	436	12184	11890	0	0	Mon, 08 Jun 2009 15:51:43 GMT	max-age=259200	text/javascript		3	9	1	564	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	3	50	0	0	100	0	-1	100	100	-1	0	0	0		19		12184	7296	12184	0	0	0	259200
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	185	5	687	430	1688	1399	0	0	Tue, 04 Aug 2009 15:51:43 GMT	max-age=5184000	image/png		3	24	1	872	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	4	100	0	-1	100	100	-1	-1	-1	100	0	0	0	3	83		0	0	0	0	1400	0	5184000
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	63	63	690	481	638	349	0	0	Sun, 14 Apr 2019 15:51:43 GMT	max-age=311040000	image/png		3	27	1	753	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	5	100	0	-1	100	100	-1	-1	-1	100	0	0	0	60	25		0	0	0	0	349	0	311040000
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0.0.0.0	GET	im5-tub.yandex.net	/i?id=3309088&tov=5	200	80	79	690	435	9139	8954	0	0			image/jpeg		3	28	1	770	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	6	0	0	-1	100	-1	-1	-1	-1	0	100	0	0	3	21		0	0	0	0	8954	3343	
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	213.180.204.44	GET	img.yandex.net	/i/stars-1.gif	200	184	64	691	426	707	419	0	0	Tue, 04 Aug 2009 15:51:43 GMT	max-age=5184000	image/gif		3	29	1	875	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	7	100	0	-1	100	100	-1	-1	-1	100	0	0	0		21		0	0	0	0	420	0	5184000
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	0.0.0.0	GET	yabs.yandex.ru	/count/3ZhhkIdy5vK40X00Zh_maw84KfK5cm5gLeYlUS43YQEcm0UIe7VK18gb_tW2ZG6Hj0VaqWkJXGsBfZHv3K5w1W00	302	81	81	691	543	365	0	26	1	Fri, 05 Jun 2009 15:51:43 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	30	1	772	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	3	18		0	0	0	0	0	0	
06/05/2009	19:51:38	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	213.180.204.91	GET	yabs.yandex.ru	/count/3ZhhkOXp0wi40X00Zh_maw84KfK4cm5kK2A8et1N0OcW5_y1ags8A0AAhVvE0Oq1aRG7vD8BZx9QPJC6dxBlSwW9auKDYwO16mL1VmS0?238742457	302	81	81	691	569	395	0	26	1	Fri, 05 Jun 2009 15:51:43 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	31	1	772	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%D0%E0%F1%EF%E8%F1%E0%ED%E8%E5%20%DF%F0%EE%F1%EB%E0%E2%F1%EA%EE%E3%EE%20%E2%EE%EA%E7%E0%EB%E0&i-m-a-hacker=1	202	1	0	Amr55RYG+UuSgZGNGxKd6Q	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		17		0	0	0	0	0	0	
