Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	93.158.134.11			http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0	8240	6892	7550	12219	65261	0	0	0					0	0	0	8240	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	0	65	0	32	89	77	-1	100	100	85	58	0	0				36567	24599	12184	0	22247	3262	
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	93.158.134.11	GET	yandex.ru	/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	200	175	18	6874	607	453	22	0	0	Fri, 05 Jun 2009 16:57:21 GMT	private, max-age=3600	text/html	gzip	3	4	1	7049	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	6862	8		453	0	0	0	0	0	
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp.ie.css	200	208	17	7036	399	22906	22620	0	0	Mon, 08 Jun 2009 15:57:21 GMT	max-age=259200	text/css		3	8	1	7244	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	2	50	0	0	100	0	-1	-1	100	-1	0	0	0	3	2		22906	17303	0	0	0	0	259200
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	213.180.204.45	GET	css.yandex.net	/css/search/r13/_serp.js	200	196	4	7051	395	12184	11890	0	0	Mon, 08 Jun 2009 15:57:21 GMT	max-age=259200	text/javascript		3	9	1	7247	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	3	50	0	0	100	0	-1	100	100	-1	0	0	0		17		12184	7296	12184	0	0	0	259200
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	204	16	7436	389	1688	1399	0	0	Tue, 04 Aug 2009 15:57:21 GMT	max-age=5184000	image/png		3	22	1	7640	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	4	100	0	-1	100	100	-1	-1	-1	100	0	0	0	24	123		0	0	0	0	1400	0	5184000
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	21	20	7436	440	638	349	0	0	Sun, 14 Apr 2019 15:57:22 GMT	max-age=311040000	image/png		3	23	1	7457	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	5	100	0	-1	100	0	-1	-1	-1	100	0	0	0	3	123		0	0	0	0	349	0	311040000
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	im5-tub.yandex.net	/i?id=59718197&tov=5	200	50	39	7452	395	5327	5142	0	0			image/jpeg		3	32	1	7502	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	6	0	0	-1	100	-1	-1	-1	-1	50	100	0	0	115	23		0	0	0	0	5143	888	
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	213.180.204.44	GET	img.yandex.net	/i/stars-0.gif	200	203	17	7436	385	583	295	0	0	Tue, 04 Aug 2009 15:57:22 GMT	max-age=5184000	image/gif		3	24	1	7639	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	7	100	0	-1	100	100	-1	-1	-1	100	0	0	0		122		0	0	0	0	296	0	5184000
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	yabs.yandex.ru	/count/LVRqYhCjmhq40X00Zh46bA84KfK4cm5kK2A8eN9N0OcWR-O1ag69A0AAflzE0Oq1aR5uGnC2ZxMeJVq6dx_6i8qEauKDYwu26mL1VmS0?1442247818	302	7	7	7452	529	396	0	26	1	Fri, 05 Jun 2009 15:57:22 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	33	1	7459	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	115	22		0	0	0	0	0	0	
06/05/2009	19:57:09	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	200	36	36	7454	698	1024	762	26	1			text/html	gzip	3	35	1	7490	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=%EF%EE%E5%E7%E4%20%EC%EE%F1%EA%E2%E0-%EF%E0%F0%E8%E6&i-m-a-hacker=1	202	1	0	gjHeoTJJxka327NSTvlwUg	9	-1	-1	100	50	-1	-1	-1	-1	-1	0	0	0	10	14		1024	0	0	0	0	0	
