Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	87.250.251.11			http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0	744	106	686	6015	63091	0	0	0					0	0	0	744	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	0	55	0	32	67	30	-1	100	100	100	50	0	0				36568	24598	12182	0	23992	0	
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	87.250.251.11	GET	yandex.ru	/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	200	105	17	89	580	453	22	0	0	Fri, 05 Jun 2009 17:03:37 GMT	private, max-age=3600	text/html	gzip	3	4	1	194	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	82	2		453	0	0	0	0	0	
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	css.yandex.net	/css/search/r13/_serp.ie.css	200	246	6	201	372	22909	22621	0	0	Mon, 08 Jun 2009 16:03:36 GMT	max-age=259200	text/css		3	8	1	447	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	2	50	0	0	100	0	-1	-1	100	-1	0	0	0	4	1		22909	17304	0	0	0	0	259200
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	213.180.204.45	GET	css.yandex.net	/css/search/r13/_serp.js	200	135	6	204	368	12182	11888	0	0	Mon, 08 Jun 2009 16:03:36 GMT	max-age=259200	text/javascript		3	9	1	339	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	3	50	0	0	100	0	-1	100	100	-1	0	0	0		3		12182	7294	12182	0	0	0	259200
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	img.yandex.net	/i/logo95x37x8.png	200	135	3	606	362	1688	1399	0	0	Tue, 04 Aug 2009 16:03:37 GMT	max-age=5184000	image/png		3	24	1	741	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	4	100	0	-1	100	0	-1	-1	-1	100	0	0	0	20	103		0	0	0	0	1400	0	5184000
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	lego.static.yandex.net	/2.0/common/block/b-head-search/arrow/b-head-search.arrow.png	200	15	15	606	413	638	349	0	0	Sun, 14 Apr 2019 16:03:37 GMT	max-age=311040000	image/png		3	26	1	621	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	5	100	0	-1	100	0	-1	-1	-1	100	0	0	0	84	18		0	0	0	0	349	0	311040000
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.5b3.html	200	37	37	606	671	1024	762	26	1			text/html	gzip	3	27	1	643	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	6	-1	-1	100	50	-1	-1	-1	-1	-1	0	0	0	5	13		1024	0	0	0	0	0	
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	yabs.yandex.ru	/resource/cl.gif	200	32	32	608	396	284	73	26	1			image/gif		3	30	1	640	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	7	0	0	-1	0	100	-1	-1	-1	100	100	0	0	3	10		0	0	0	0	73	0	
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	213.180.204.91	GET	yabs.yandex.ru	/count/ReMCR6j9g2440X00ZhaTbA84KfK2cmTiFoq1YArJzWMIeRc71ugjRxG4ZG6Ge1y2tf6_PhAp3vE53Okh33yTGNm6?rnd=1854245996	302	34	32	608	490	498	0	26	1	Fri, 05 Jun 2009 16:03:37 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	31	1	642	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		10		0	0	0	0	0	0	
06/05/2009	20:03:32	Cleared Cache-Run_1^http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	0.0.0.0	GET	favicon.yandex.ru	/favicon/www.yandexyandexyandex.ru	200	30	30	607	417	229	43	26	1			image/gif		3	29	1	637	Launch	-1	-1	-1	0	http://yandex.ru/yandsearch?text=www.yandexyandexyandex.ru&i-m-a-hacker=1	202	1	0	m8d7frjO+kqJwm181h8ZyQ	9	0	0	-1	0	100	-1	-1	-1	100	100	0	0	3	6		0	0	0	0	43	0	
