Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	87.250.251.11			http://yandex.ru	0	4035	311	2661	9092	48598	0	0	0					0	0	0	4035	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	0	64	0	78	62	93	-1	100	100	81	95	0	0				6309	1334	4261	0	22184	4012	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	87.250.251.11	GET	yandex.ru	/	301	14	14	296	524	481	189	0	0			text/html	gzip	3	4	1	310	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	289	2		0	0	0	0	0	0	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	www.yandex.ru	/	200	74	48	318	528	1024	529	0	0	Wed Jun 10 10:52:19 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	7	1	392	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	2	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	4	2		1024	0	0	0	0	0	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	img.yandex.net	/i/www/js/_utils_0.0.1.js	200	23	14	642	317	1206	892	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	application/x-javascript	gzip	3	10	1	665	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	3	100	0	100	100	100	-1	100	100	-1	100	0	0	5	5		1206	0	1206	0	0	0	315360000
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_main/0	302	37	17	688	344	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	13	1	725	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	4	3		0	0	0	0	0	0	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	217.73.200.222	GET	www.tns-counter.ru	/V13b****yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	13	13	728	386	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	15	1	741	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	5	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		3		0	0	0	0	43	0	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/Rg_hICZZgj040X02ZhC6-Q84KPK5cm5fMeYhpRG4agybb0UAf_Qz196yq4ba1fE53OkWs88TGNi5	302	15	15	771	414	387	0	29	1	Wed, 10 Jun 2009 10:52:19 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	22	1	786	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	12	3		0	0	0	0	0	0	
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	imgl.yandex.net	/i/www/logo1.png	200	19	14	770	309	3342	3051	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	20	1	789	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	7	100	0	-1	100	100	-1	-1	-1	100	100	0	0	10	3		0	0	0	0	3052	0	315360000
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	0.0.0.0	GET	img.yandex.net	/i/arr-news-chooser.gif	200	16	16	767	315	399	109	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/gif		3	10	1	783	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	8	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	109	0	315360000
06/10/2009	14:52:18	Cleared Cache-Run_1^http://yandex.ru	93.158.134.44	GET	img.yandex.net	/i/arr.png	200	25	10	788	302	639	349	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	23	1	813	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	8pkEHSIW1kuP6PIo8Fg8zg	9	100	0	-1	100	100	-1	-1	-1	100	100	0	0		7		0	0	0	0	349	0	315360000
