Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	213.180.204.3			http://www.yandex.ru	0	758	142	493	7103	28773	0	0	0					0	0	0	758	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	0	0	0	67	43	66	-1	100	100	100	100	0	0				4078	1333	3054	0	86	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	213.180.204.3	GET	www.yandex.ru	/	200	77	54	88	661	1024	636	59	2	Wed Jun 10 11:11:56 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	4	1	165	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	1	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	80	4		1024	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a**1725226721244632301**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	26	26	346	405	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	13	1	372	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	2	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	151	22		0	0	0	0	43	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/548_sWBqD9a40X02ZhnF-Q84KPK5cm5fMeYhpRG4agGcb0UAhVQz196yq4ba1fE53OkesO8TGNi5	302	24	24	346	444	387	0	59	2	Wed, 10 Jun 2009 11:11:56 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	14	1	370	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	8	13		0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/548_se0xuJq40X00ZhnF-Q84KP6yq4ba1fE53NW2=JjwCGfK2cm9jL9AirwC7e90d0Ny1=YR9AP9K5cm5fMfAa9fG7Um40	200	28	26	346	462	435	0	59	2	Wed, 10 Jun 2009 11:11:56 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	15	1	374	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	4	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0		13		0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	0.0.0.0	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	21	21	360	714	250	196	59	2					3	16	1	381	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	12	14		0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/vvvBlSKPHYCia_AFDzqkcA.png	304	11	11	402	447	149	95	59	2					3	15	1	413	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/count/548_sWBqD9a40X02ZhnF-Q84KPK5cm5fMeYhpRG4agGcb0UAhVQz196yq4ba1fE53OkesO8TGNi5	302	8	8	376	391	387	0	59	2	Wed, 10 Jun 2009 11:11:56 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	14	1	384	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	200	16	9	376	385	2289	2061	59	2			application/x-javascript		3	15	1	392	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	8	0	0	0	0	100	-1	100	100	-1	100	0	0				2289	1333	2289	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	0.0.0.0	GET	yabs.yandex.ru	/resource/vvvBlSKPHYCia_AFDzqkcA.png	304	10	10	385	406	149	95	71	2					3	14	1	395	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/10/2009	15:11:55	Cached-Run_7^http://www.yandex.ru	0.0.0.0	GET	engine.awaps.net	/0/507/728090.swf?0-0-0-0-la:75098p:39340?rnd=9759&link1=http://yabs.yandex.ru/count/548_sdXhH4840X00ZhnF-Q84KPK2cm9jL2A8f0ZE1PAirwC7YgO3oWIHlD19P0QJXGsBfG7H7KAWa2S1U0O0	302	29	26	537	463	743	5	0	0		no-cache, no-store, must-revalidate, max-age=5			3	19	1	566	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	CJ/HZfukxEyNoxX+Z73kXw	10	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	56	4		0	0	0	0	0	0	
