Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	93.158.134.11			http://yandex.ru	0	247	128	179	208	23569	0	0	0					0	0	0	247	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	0	0	0	83	45	100	-1	13	100	100	91	0	0				20418	3342	3883	3373	86	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	93.158.134.11	GET	yandex.ru	/	301	1	1	126	16	481	189	58	2			text/html	gzip	3	3	1	127	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	125	1		0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	77.88.21.3	GET	www.yandex.ru	/	200	37	31	131	16	16535	16147	58	2	Thu Jun 11 15:26:52 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	5	1	168	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	2	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	0	1		16535	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	217.73.200.222	GET	www.tns-counter.ru	/V13a**463070051244734006**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	2	2	178	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	8	1	180	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	3	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	43	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/PK2FgnGkpJO40X02ZhiZ4gC4KPK5cm5fMeYXJSi5agAurGUAg_Fn196yq4ba1fE53OkaKP0UGNi5	302	1	1	181	16	387	0	58	2	Thu, 11 Jun 2009 15:26:51 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	182	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/Qpt2_k^Sb8FDYczgOL9Sfg.png	304	1	1	184	16	149	0	58	2					3	10	1	185	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/PK2FgnGkpJO40X02ZhiZ4gC4KPK5cm5fMeYXJSi5agAurGUAg_Fn196yq4ba1fE53OkaKP0UGNi5	302	1	1	198	16	387	0	58	2	Thu, 11 Jun 2009 15:26:52 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	199	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/PK2FgxqkYI440X00ZhiZ4gC4KP6yq4ba1fE53NW2=shY7MvK2cm9jL9Abk6a6Um40=jremM9K5cm5fMfAYkDK7Um40	200	18	1	221	16	423	0	58	2	Thu, 11 Jun 2009 15:26:52 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	239	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	7	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/PK2FgnTRQEW40X02ZhiZ4gC4KPK2cm9jL2A8ghiz0PAbk6a6YgAsnmEHlD19P0QJXGsBfsTA5a5y1G00?1698729899	302	2	2	241	16	382	0	58	2	Thu, 11 Jun 2009 15:26:52 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	11	1	243	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	8	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		19		0	0	0	0	0	0	
06/11/2009	19:26:49	Cached-Run_1^http://yandex.ru	77.88.21.63	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	2	2	244	16	250	0	58	2			text/html	gzip	3	13	1	246	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	2Jt+S/VjM0qoCW3fyMUVxA	9	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	1	1		0	0	0	0	0	0	
