Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.11			http://yandex.ru	0	339	124	292	368	54946	0	0	0					0	0	0	339	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	0	75	0	87	68	92	-1	33	100	82	95	0	0				26599	3342	5089	3373	22581	3903	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.11	GET	yandex.ru	/	301	1	1	123	16	481	189	0	0			text/html	gzip	3	3	1	124	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	121	1		0	0	0	0	0	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	93.158.134.3	GET	www.yandex.ru	/	200	61	34	127	16	16486	15992	0	0	Thu Jun 11 15:26:46 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	5	1	188	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	2	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	0	1		16486	0	0	0	0	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/www/js/_utils_0.0.1.js	200	45	19	206	16	1206	892	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	application/x-javascript	gzip	3	7	1	251	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	3	100	0	100	100	100	-1	100	100	-1	100	0	0	0	7		1206	0	1206	0	0	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_main/0	302	21	3	202	16	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	9	1	223	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	2		0	0	0	0	0	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/InsvXmJ0Dzi40X02ZhOZ4gC4KPK5cm5fMeYXJSi5agkurGUAhVFn196yq4ba1fE53OkiKP0UGNi5	302	1	1	225	16	387	0	28	1	Thu, 11 Jun 2009 15:26:46 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	11	1	226	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	20		0	0	0	0	0	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	77.88.21.6	GET	imgl.yandex.net	/i/www/logo1.png	200	16	16	226	16	3343	3052	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	13	1	242	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	6	100	0	-1	100	100	-1	-1	-1	100	100	0	0	0	19		0	0	0	0	3052	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/arr-news-chooser.gif	200	0	0	225	16	399	109	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/gif		3	14	1	225	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	7	100	0	-1	100	100	-1	-1	-1	100	100	0	0		19		0	0	0	0	109	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13b****yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	2	2	243	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	15	1	245	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	8	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		17		0	0	0	0	43	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/InsvXmJ0Dzi40X02ZhOZ4gC4KPK5cm5fMeYXJSi5agkurGUAhVFn196yq4ba1fE53OkiKP0UGNi5	302	1	1	243	16	387	0	28	1	Thu, 11 Jun 2009 15:26:46 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	16	1	244	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		17		0	0	0	0	0	0	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/arr.png	200	14	0	226	16	639	349	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	14	1	240	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	10	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	349	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/Qpt2_k^Sb8FDYczgOL9Sfg.png	200	15	15	227	16	6834	6621	28	1			image/png		3	11	1	242	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	11	0	0	-1	0	100	-1	-1	-1	0	100	0	0				0	0	0	0	6621	3198	
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/www/iconx.png	200	0	0	263	16	4712	4421	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	14	1	263	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	12	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	4421	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	213.180.204.44	GET	img.yandex.net	/i/block/b-dropdown/b-dropdown.png	200	0	0	275	16	1912	1621	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	7	1	275	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	13	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	1621	0	315360000
06/11/2009	19:26:43	Cleared Cache-Run_1^http://yandex.ru	87.250.251.61	GET	img-fotki.yandex.ru	/getx/10000/photoface.162/onni-taika2311_50951_teaser	200	23	10	281	16	5230	4983	28	1	Mon, 10 Aug 2009 15:26:46 GMT	max-age=5184000	image/jpeg		3	19	1	304	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	2kNRBBonWU6ROb6pSRqRvA	14	100	0	-1	0	-1	-1	-1	-1	50	100	0	0	0	1		0	0	0	0	4983	705	5184000
