Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.116			http://lenta.ru	0	428	132	321	2048	88848	0	0	0					0	0	0	428	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	0	100	0	95	94	50	-1	100	100	100	96	0	0				41428	1954	511	0	27393	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	15	4	127	16	37056	36843	0	0			text/html	gzip	3	3	1	142	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	1		37056	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	304	1	1	137	16	136	0	0	0					3	5	1	138	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	304	1	1	138	16	136	0	0	0					3	6	1	139	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		2		0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	304	2	2	157	16	136	0	0	0					3	5	1	159	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	304	2	2	157	16	136	0	0	0					3	6	1	159	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	2	2	161	16	258	45	29	1			text/html		3	8	1	163	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	6	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0	0	2		258	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	304	2	2	159	16	136	0	0	0					3	5	1	161	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	304	1	1	160	16	136	0	0	0					3	6	1	161	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:27:50	Cached-Run_1^http://lenta.ru	83.222.3.160	GET	www.medportal.ru	/common/11060903--340--150.jpg	301	2	2	173	16	445	197	0	0		no-cache	text/html		3	10	1	175	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	Enz9RLI7JEGV5RKXLCMKyA	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
