Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.116			http://lenta.ru	0	719	133	182	2032	555975	0	0	0					0	0	0	719	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	0	1	0	100	96	95	-1	-1	95	81	13	0	0				46246	0	0	0	479134	86422	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	14	6	127	16	37056	36843	0	0			text/html	gzip	3	3	1	141	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	1		37056	0	0	0	0	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	200	4	2	142	16	6113	5830	0	0			text/css	gzip	3	5	1	146	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	2	0	0	100	100	100	-1	-1	0	-1	0	0	0	4	1		6113	0	0	0	0	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	200	1	1	143	16	2041	1757	0	0			text/css	gzip	3	6	1	144	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	3	0	0	100	100	100	-1	-1	0	-1	0	0	0		1		2041	0	0	0	0	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	200	1	1	157	16	2126	1894	0	0			image/gif		3	6	1	158	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	4	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	1894	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	200	2	2	157	16	3750	3518	0	0			image/gif		3	5	1	159	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	5	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	3518	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	21	4	160	16	366	45	0	0			text/html		3	8	1	181	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	6	-1	-1	100	100	0	-1	-1	-1	-1	100	0	0	0	2		366	0	0	0	0	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	200	1	1	160	16	287	58	0	0			image/gif		3	6	1	161	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	7	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	58	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	200	2	2	160	16	287	58	0	0			image/gif		3	5	1	162	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	8	0	0	-1	100	100	-1	-1	-1	100	0	0	0				0	0	0	0	58	0	
06/11/2009	19:27:43	Cleared Cache-Run_1^http://lenta.ru	83.222.3.160	GET	www.medportal.ru	/common/11060903--340--150.jpg	301	16	16	198	16	445	197	0	0		no-cache	text/html		3	10	1	214	Launch	-1	-1	-1	0	http://lenta.ru	202	1	0	PlmB+1ysA0qgO8XuRJRs+A	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	6	5		0	0	0	0	0	0	
