Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.116			http://lenta.ru	0	1114	134	189	1984	134317	0	0	0					0	0	0	1114	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	0	9	0	95	94	88	-1	100	100	86	82	0	0				41292	2001	511	0	71763	9637	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	14	7	127	16	36843	36630	0	0			text/html	gzip	3	3	1	141	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	2		36843	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	304	1	1	140	16	136	0	0	0					3	5	1	141	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	304	2	2	140	16	136	0	0	0					3	6	1	142	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	304	2	2	157	16	136	0	0	0					3	5	1	159	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	304	2	2	157	16	136	0	0	0					3	6	1	159	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	27	27	161	16	258	45	29	1			text/html		3	8	1	188	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	6	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0	0	1		258	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	304	1	1	159	16	136	0	0	0					3	5	1	160	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	304	1	1	160	16	136	0	0	0					3	6	1	161	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	19:29:21	Cached-Run_1^http://lenta.ru	83.222.3.160	GET	www.medportal.ru	/common/11060903--340--150.jpg	301	2	2	204	16	445	197	0	0		no-cache	text/html		3	10	1	206	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	ssCABf5DaUi+jIcJpU4xEQ	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
