Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187			http://pampers2.yandex.ru:2007	99999	421	174	389	432	53699	0	0	0					0	0	0	421	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	0	2	0	30	10	71	-1	20	90	100	100	0	0				42581	29687	4117	3278	7085	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/	200	49	47	126	16	3152	2765	29	1	Thu, 11 Jun 2009 16:17:28 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	1	175	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	1	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0	124	1		3152	0	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_common.css	200	8	7	177	16	7705	7545	29	1			text/css		3	3	1	185	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	2	0	0	0	0	100	-1	-1	0	-1	100	0	0				7705	5515	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_mail-common.css	200	22	16	178	16	23493	23355	29	1			text/css		3	4	1	200	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	3	0	0	0	0	0	-1	-1	0	-1	100	0	0		1		23493	18147	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_mail-login.css	200	6	6	188	16	4114	3954	29	1			text/css		3	5	1	194	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	4	0	0	0	0	0	-1	-1	0	-1	100	0	0		1		4114	2797	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	77.88.21.24	GET	passport.yandex.ru	/passport?mode=testloginjs&id33047767	200	31	31	220	16	322	36	29	1		no-cache,no-store,max-age=0,must-revalidate	application/x-javascript		3	7	1	251	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	5	-1	-1	100	50	100	-1	100	-1	-1	100	0	0	0	0		322	0	322	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/js/index_main.js	304	2	2	265	16	197	0	29	1			application/x-javascript		3	8	1	267	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	6	0	-1	-1	0	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/js/test_xslt.js	304	3	3	279	16	197	0	29	1			application/x-javascript		3	8	1	282	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	7	0	-1	-1	0	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	87.250.251.87	GET	mailstatic.yandex.net	/classic/79/i/x.gif?xml=ok&xslt=ok&import=ok&transform=ok&xpath=ok&xpath2=ok&xpathres=ok&export2html=ok&time=0	404	1	1	305	16	502	345	0	0			text/html		3	10	1	306	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/11/2009	20:12:25	Cached-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/i//login/logo50.png	304	1	1	303	16	182	0	29	1			image/png		3	8	1	304	Launch	-1	-1	-1	1	http://pampers2.yandex.ru:2007	202	1	0	Io7U9yfVJ0uRkf3F6QtyYA	9	0	-1	-1	0	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
