Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187			http://pampers2.yandex.ru:2007	99999	459	169	355	448	86146	0	0	0					0	0	0	459	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	0	2	0	31	28	87	-1	52	70	99	100	0	0				56433	38917	17941	8488	25296	60	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/	200	44	42	126	16	3202	2815	0	0	Thu, 11 Jun 2009 16:17:22 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	1	170	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	124	1		3202	0	0	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_common.css	200	8	7	172	16	7683	7545	0	0			text/css		3	3	1	180	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	2	0	0	0	100	100	-1	-1	0	-1	100	0	0				7683	5515	0	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_mail-common.css	200	34	27	174	16	23493	23355	0	0			text/css		3	4	1	208	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	3	0	0	0	100	0	-1	-1	0	-1	100	0	0		1		23493	18147	0	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/css/_mail-login.css	200	6	6	182	16	4114	3954	0	0			text/css		3	5	1	188	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	4	0	0	0	100	0	-1	-1	0	-1	100	0	0		1		4114	2797	0	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	213.180.204.24	GET	passport.yandex.ru	/passport?mode=testloginjs&id32732533	200	32	16	220	16	429	36	0	0		no-cache,no-store,max-age=0,must-revalidate	application/x-javascript		3	7	1	252	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	5	-1	-1	100	100	100	-1	100	-1	-1	100	0	0	0	1		429	0	429	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/js/index_main.js	200	2	1	264	16	4667	4458	29	1			application/x-javascript		3	8	1	266	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	6	0	0	0	0	100	-1	0	0	-1	100	0	0		1		4667	2834	4667	1778	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/js/test_xslt.js	200	2	1	279	16	9050	8841	29	1			application/x-javascript		3	8	1	281	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	7	0	0	0	0	100	-1	0	0	-1	100	0	0				9050	6396	9050	3432	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	87.250.251.87	GET	mailstatic.yandex.net	/classic/79/i/x.gif?xml=ok&xslt=ok&import=ok&transform=ok&xpath=ok&xpath2=ok&xpathres=ok&export2html=ok&time=0	404	1	1	305	16	502	345	0	0			text/html		3	10	1	306	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	1	1		0	0	0	0	0	0	
06/11/2009	20:12:19	Cleared Cache-Run_1^http://pampers2.yandex.ru:2007	93.158.129.187	GET	pampers2.yandex.ru:2007	/modern/_static/i//login/logo50.png	200	1	1	304	16	2141	1947	29	1			image/png		3	8	1	305	Launch	-1	-1	-1	0	http://pampers2.yandex.ru:2007	202	1	0	MQSdmo3Yj0ux+HDsIVLqnA	9	0	0	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	1947	60	
