Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.24			http://mail.yandex.ru	0	2160	47	694	3213	2431406	0	0	0					0	0	0	2160		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	0	97	0	28	93	99	-1	100	40	40	99	0	0				348349	247645	245424	0	2038186	1204708	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.24	POST	passport.yandex.ru	/passport?mode=auth	302	71	47	0	16	2053	1047	210	3			text/plain		3	9	1	71		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=06i1244738470A4WIms9TX&ncrnd=344003	302	40	40	78	829	1024	18	367	7			text/plain		3	1	1	118		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	1	0		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.51	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did3274242&ncrnd=339187	302	1	1	124	16	418	0	367	7					3	5	2	125		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	0		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	77.88.21.25	GET	mail.yandex.ru	/?from=mail&r=id3274242&ncrnd=688	302	28	27	126	16	3285	2820	366	7	Thu, 11 Jun 2009 16:26:10 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	2	154		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	77.88.21.25	GET	mail.yandex.ru	/neo/messages_thread?d=id2741810	200	307	302	155	16	10902	10515	366	7	Thu, 11 Jun 2009 16:26:10 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	2	462		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				10902	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/m-ie6.css	200	8	1	462	16	67602	67310	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	text/css		3	6	2	470		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	6	100	0	0	100	100	-1	-1	0	-1	100	0	0				67602	54770	0	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/page-inbox.ie.css	200	4	1	462	16	17419	17127	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	text/css		3	5	2	466		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	7	100	0	0	100	100	-1	-1	0	-1	100	0	0				17419	13670	0	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/theme/green/theme-page-inbox.ie.css	200	12	1	468	16	6018	5727	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	text/css		3	5	2	480		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	8	100	0	0	100	100	-1	-1	0	-1	100	0	0				6018	4793	0	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/etc/jquery/jquery.js	200	9	1	480	16	120524	120215	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	6	2	489		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	9	100	0	0	100	100	-1	100	0	-1	100	0	0				120524	86175	120524	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/lego.js	200	2	1	512	16	10946	10638	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	5	2	514		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	10	100	0	0	100	100	-1	100	0	-1	100	0	0				10946	6353	10946	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js_texts/ru/Mail_js.js	200	1	1	525	16	8969	8662	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	6	2	526		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	11	100	0	0	100	100	-1	100	0	-1	100	0	0				8969	5996	8969	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/Mail.js	200	5	1	539	16	77385	77077	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	5	2	544		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	12	100	0	0	100	100	-1	100	0	-1	100	0	0				77385	56870	77385	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/pages/messages.js	200	1	1	564	16	25249	24941	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	6	2	565		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	13	100	0	0	100	100	-1	100	0	-1	100	0	0				25249	18354	25249	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js_texts/ru/messages_js.js	200	2	2	573	16	1558	1251	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	application/x-javascript		3	5	2	575		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	14	100	0	0	100	100	-1	100	0	-1	100	0	0				1558	664	1558	0	0	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	77.88.21.93	GET	upics.yandex.net	/get/jstester/small	302	8	8	589	16	244	0	0	0	Thu, 11 Jun 2009 16:21:10 GMT	max-age=0, proxy-revalidate			3	7	2	597		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	15	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	1	1		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/theme/green/dialog.png	200	1	1	597	16	1209	918	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/png		3	6	2	598		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	16	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	918	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	77.88.21.96	GET	default.avatars.yandex.net	/it/44-small	304	1	1	601	16	204	0	0	0			image/png		3	9	2	602		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	17	0	-1	-1	100	-1	-1	-1	-1	-1	0	0	0	0	1		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	304	1	1	601	16	149	0	366	7					3	11	2	602		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	18	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_mail/0	200	3	3	606	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	12	2	609		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	19	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0		2		0	0	0	0	43	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/theme/logo-bg.png	200	1	1	604	16	863	553	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/png		3	5	2	605		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	20	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	553	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.91	GET	yabs.yandex.ru	/resource/XhyADgF9PmC1cHCs60GA8Q.gif?rnd=532069	200	5	1	637	16	18967	18753	366	7			image/gif		3	11	2	642		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	21	0	0	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	18753	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	213.180.204.91	GET	yabs.yandex.ru	/count/G0hHQrys5aS40X00ZhRl4gC4N0kL0Pi1RqWZYAfyCmQIglxM1ugieV04aA0V0jwHjf7Q5G-JXGsBfLs87a6CZVMWZVLu1m00	302	22	1	639	16	553	0	366	7	Thu, 11 Jun 2009 16:21:10 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	13	2	661		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	22	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/theme/green/fade.png	200	1	1	663	16	1579	1287	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/png		3	6	2	664		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	23	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	1287	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	81.222.128.12	GET	ad.adriver.ru	/cgi-bin/rle.cgi?sid=1&bt=21&ad=170503&pid=321576&bid=613254&bn=613254&rnd=182498847	204	15	15	675	16	381	0	14	1	Thu, 01 Jan 1970 00:00:00 GMT	no-cache, max-age=0, must-revalidate, no-store			3	15	2	690		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	24	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	11		0	0	0	0	0	0	
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/progress.gif	200	1	1	702	16	852	542	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/gif		3	6	2	703		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	25	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	542	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/loader.gif	200	1	1	704	16	686	395	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/gif		3	16	2	705		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	26	100	0	-1	100	100	-1	-1	-1	100	100	0	0		1		0	0	0	0	395	0	15552000
06/11/2009	20:21:07	Cached-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/i/ico-close.gif	200	1	1	705	16	346	56	0	0	Tue, 08 Dec 2009 16:21:10 GMT	max-age=15552000	image/gif		3	17	2	706		-1	-1	-1	1	http://mail.yandex.ru	202	1	0	t6LAhwYQN0eks0yiIDrHxw	27	100	0	-1	100	100	-1	-1	-1	100	100	0	0		1		0	0	0	0	56	0	15552000
