Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	213.180.204.24			http://mail.yandex.ru	0	1789	45	589	3253	2477925	0	0	0					0	0	0	1789		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	0	95	0	28	93	97	-1	100	30	41	95	0	0				350654	248979	247714	0	2080100	1217790	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	213.180.204.24	POST	passport.yandex.ru	/passport?mode=auth	302	71	45	0	16	2053	1048	29	1			text/plain		3	9	1	71		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	1				0	0	0	0	0	0	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	0.0.0.0	POST	passport-ckicheck.yandex.ru	/passport?mode=ckicheck&idkey=06Z12447384569Ei6ABSnJ&ncrnd=601417	302	41	41	78	789	1024	19	333	6			text/plain		3	1	1	119		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	2	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	1	0		0	0	0	0	0	0	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	213.180.204.51	GET	pass.yandex.ru	/login?retpath=http%3a%2f%2fmail%2eyandex%2eru%2f%3ffrom%3dmail%26r%3did40360606&ncrnd=944407	302	1	1	125	16	420	0	333	6					3	5	2	126		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	0		0	0	0	0	0	0	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.25	GET	mail.yandex.ru	/?from=mail&r=id40360606&ncrnd=5939	302	20	19	127	16	3222	2756	333	6	Thu, 11 Jun 2009 16:25:56 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	2	147		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.25	GET	mail.yandex.ru	/neo/messages_thread?d=id38927891	200	159	154	148	16	10917	10530	333	6	Thu, 11 Jun 2009 16:25:56 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	3	2	307		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	5	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				10917	0	0	0	0	0	
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/m-ie6.css	200	17	1	308	16	67602	67310	0	0	Tue, 08 Dec 2009 16:20:56 GMT	max-age=15552000	text/css		3	6	2	325		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	6	100	0	0	100	100	-1	-1	0	-1	100	0	0				67602	54770	0	0	0	0	15552000
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/page-inbox.ie.css	200	5	1	308	16	17419	17127	0	0	Tue, 08 Dec 2009 16:20:56 GMT	max-age=15552000	text/css		3	5	2	313		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	7	100	0	0	100	100	-1	-1	0	-1	100	0	0				17419	13670	0	0	0	0	15552000
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/theme/green/theme-page-inbox.ie.css	200	12	1	314	16	6018	5727	0	0	Tue, 08 Dec 2009 16:20:56 GMT	max-age=15552000	text/css		3	5	2	326		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	8	100	0	0	100	100	-1	-1	0	-1	100	0	0				6018	4793	0	0	0	0	15552000
06/11/2009	20:20:53	Cleared Cache-Run_1^090611_M.pts_Step2	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/etc/jquery/jquery.js	200	16	1	327	16	120524	120215	0	0	Tue, 08 Dec 2009 16:20:56 GMT	max-age=15552000	application/x-javascript		3	6	2	343		-1	-1	-1	0	http://mail.yandex.ru	202	1	0	JHU+x1X3h0CyDOuTuwESgw	9	100	0	0	100	100	-1	100	0	-1	100	0	0				120524	86175	120524	0	0	0	15552000
