Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	209.131.36.159			http://yahoo.com	0	2752	562	1152	560	180923	0	0	0					0	0	0	2752	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	0	100	100	100	98	100	-1	100	100	87	100	0	0				80280	0	42240	0	92105	11635	
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	209.131.36.159	GET	yahoo.com	/	301	218	218	344	16	380	165	0	0		private	text/html		3	3	1	562	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	125	218		0	0	0	0	0	0	
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	87.248.113.14	GET	www.yahoo.com	/	200	436	218	724	16	35767	34857	0	0		private	text/html	gzip	3	5	1	1160	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	2	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	87	73		35767	0	0	0	0	0	
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/d/a/1-/java/promotions/js/ad_eo_1.1.js	200	42	42	1152	16	916	553	0	0	Sat, 08 Jun 2019 19:07:52 GMT	max-age=315360000	application/x-javascript	gzip	3	7	1	1194	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	3	100	100	100	100	100	-1	100	100	-1	100	0	0	0	42		916	0	916	0	0	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/thm/1/grd-1px_1.4.gif	200	42	42	1205	16	1463	1160	0	0	Thu, 30 May 2019 21:22:44 GMT	max-age=315360000	image/gif		3	7	1	1247	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	4	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	1160	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/beta/y3.gif	200	84	42	1255	16	2177	1874	0	0	Tue, 04 Jun 2019 23:16:17 GMT	max-age=315360000	image/gif		3	8	1	1339	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	5	100	100	-1	100	100	-1	-1	-1	100	100	0	0		42		0	0	0	0	1874	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/thm/1/wlip_closed.png	200	42	42	1249	16	701	399	0	0	Tue, 04 Jun 2019 04:09:39 GMT	max-age=315360000	image/png		3	7	1	1291	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	6	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	399	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/thm/1/whood.png	200	55	42	1292	16	710	408	0	0	Thu, 30 May 2019 07:03:26 GMT	max-age=315360000	image/png		3	7	1	1347	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	7	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	408	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/thm/1/whood.png	200	56	43	1334	16	710	408	0	0	Thu, 30 May 2019 07:03:26 GMT	max-age=315360000	image/png		3	7	1	1390	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	8	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	408	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/thm/1/wlip_closed.png	200	51	42	1348	16	701	399	0	0	Wed, 05 Jun 2019 07:34:10 GMT	max-age=315360000	image/png		3	8	1	1399	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	9	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	399	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/t4/sbox-bg.gif	200	42	42	1377	16	1556	1253	0	0	Tue, 04 Jun 2019 20:54:27 GMT	max-age=315360000	image/gif		3	7	1	1419	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	10	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	1253	0	315360000
06/11/2009	20:52:27	Cleared Cache-Run_1^http://yahoo.com	66.196.65.174	GET	l.yimg.com	/a/i/ww/sp/icons_1.8.gif	200	84	42	1400	16	3691	3388	0	0	Wed, 05 Jun 2019 21:28:49 GMT	max-age=315360000	image/gif		3	8	1	1484	Launch	-1	-1	-1	0	http://yahoo.com	202	1	0	fnWUBD+03UyGJIc1GsYUSg	11	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	3388	0	315360000
