Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	213.180.204.69			http://maps.yandex.ru	0	641	137	160	160	19599	0	0	0					0	0	0	641	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	0	0	0	38	55	100	-1	64	100	100	90	0	0				7932	4856	3969	1407	9690	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	213.180.204.69	GET	maps.yandex.ru	/home.html	304	0	0	136	16	203	0	62	2			text/html		3	4	1	136	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	1	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	134	2		0	0	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/page/67?rnd=1096226938&stat-id=41	200	8	2	136	16	3963	3598	62	2	Thu, 11 Jun 2009 17:09:25 GMT	private, no-cache, no-store, must-revalidate, max-age=0	text/html		3	6	1	144	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	2	-1	-1	0	50	100	-1	-1	-1	-1	100	0	0	0	1		3963	2270	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_maps/0	200	3	3	139	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	8	1	142	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	3	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	43	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/resource/watch.js	304	1	1	151	16	149	0	62	2					3	6	1	152	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/watch/114208?rn=732062&cnt-class=0&page-ref=&page-url=http%3A%2F%2Fmaps.yandex.ru%2F&browser-info=j:1:s:1024x768x16:t:%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81.%D0%9A%D0%B0%D1%80%D1%82%D1%8B&wmode=1	200	1	1	154	16	364	0	62	2	Thu, 11 Jun 2009 17:09:25 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	6	1	155	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	5	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/resource/slider.html	304	1	1	159	16	149	0	91	3					3	6	1	160	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	77.88.21.135	GET	trf.maps.yandex.net	/trf/coverage.js?id=0.31788335345789603	200	17	3	187	16	2320	2110	0	0	Thu, 11 Jun 2009 17:13:25 GMT	max-age=240	application/x-javascript		3	10	1	204	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	7	0	0	0	100	100	-1	0	-1	-1	100	0	0	0	1		2320	1510	2320	578	0	0	240
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	77.88.21.135	GET	trf.maps.yandex.net	/trf/stat.js?id=0.44603274185135283	200	1	1	583	16	1649	1439	0	0	Thu, 11 Jun 2009 17:13:21 GMT	max-age=240	application/x-javascript		3	10	1	584	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	8	0	0	0	100	100	-1	0	-1	-1	100	0	0				1649	1076	1649	829	0	0	240
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/count/5SlTprjtCee40X00ZhMa4wC4MmYL0Pi2RrybYAEq_mMUAPAcNPG7YgeSlWIGe1y2tf6yq4ba1fE53OkbqOCTGNm6?rnd=365682127	302	19	1	596	16	504	0	91	3	Thu, 11 Jun 2009 17:09:26 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	6	1	615	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	9	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	21:09:22	Cached-Run_2^http://maps.yandex.ru	93.158.134.190	GET	bs.yandex.ru	/resource/0ohhfQGEDmN6WXCXrNJN7g.gif	200	2	1	616	16	9860	9647	99	3			image/gif		3	6	1	618	Launch	-1	-1	-1	1	http://maps.yandex.ru	202	1	0	B8uI91WjA0C4zk4UyKbjjQ	10	0	0	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	9647	0	
