Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103			http://maps.google.com	0	1140	305	429	512	327196	0	0	0					0	0	0	1140	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	0	100	100	100	39	90	-1	98	100	98	100	0	0				150525	0	124862	1358	171732	2079	
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.google.com	/	200	304	119	186	16	24896	24524	0	0	Thu, 11 Jun 2009 17:09:20 GMT	private	text/html	gzip	3	3	1	490	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	1	-1	-1	100	100	100	-1	-1	-1	-1	100	0	0	124	61		24896	0	0	0	0	0	
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.google.com	/mapfiles/home3.html	200	63	63	442	16	639	363	71	1	Fri, 11 Jun 2010 17:07:20 GMT	public, max-age=31536000	text/html	gzip	3	4	1	505	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	2	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0		62		639	0	0	0	0	0	
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/transparent.png	200	79	79	493	16	380	95	0	0	Fri, 11 Jun 2010 17:03:00 GMT	public, max-age=31536000	image/png		3	6	1	572	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	3	100	100	-1	100	100	-1	-1	-1	100	100	0	0	1	61		0	0	0	0	95	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.91	GET	mt1.google.com	/vt/v=w2.97&hl=ru&x=3&y=5&z=4&s=Galile	200	188	63	494	16	14072	13888	71	1		public, max-age=22222222	image/png		3	8	1	682	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	4	100	100	-1	0	100	-1	-1	-1	100	100	0	0	0	62		0	0	0	0	13888	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.93	GET	mt2.google.com	/vt/v=w2.97&hl=ru&x=4&y=5&z=4&s=G	200	190	66	496	16	17480	17296	71	1		public, max-age=22222222	image/png		3	10	1	686	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	5	100	100	-1	0	100	-1	-1	-1	100	100	0	0	0	62		0	0	0	0	17296	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.190	GET	mt3.google.com	/vt/v=w2.97&hl=ru&x=3&y=6&z=4&s=Galileo	200	188	75	497	16	16342	16158	71	1		public, max-age=22222222	image/png		3	12	1	685	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	6	100	100	-1	0	100	-1	-1	-1	100	100	0	0	1	62		0	0	0	0	16158	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.136	GET	mt0.google.com	/vt/v=w2.97&hl=ru&x=4&y=6&z=4&s=Ga	200	188	76	497	16	14952	14768	71	1		public, max-age=22222222	image/png		3	14	1	685	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	7	100	100	-1	0	100	-1	-1	-1	100	100	0	0	0	62		0	0	0	0	14768	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/mapcontrols3d5.png	200	87	87	497	16	3055	2767	0	0	Fri, 11 Jun 2010 16:50:28 GMT	public, max-age=31536000	image/png		3	15	1	584	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	8	100	100	-1	100	100	-1	-1	-1	100	100	0	0		62		0	0	0	0	2767	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.google.com	/intl/ru_ALL/images/maps_small_horizontal_logo.png	200	62	62	490	16	3114	2860	71	1	Fri, 11 Jun 2010 16:50:28 GMT	public, max-age=31536000	image/png		3	3	1	552	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	9	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	2860	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/mapcontrols3d5.png	200	75	63	585	16	3055	2767	0	0	Fri, 11 Jun 2010 16:50:28 GMT	public, max-age=31536000	image/png		3	6	1	660	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	10	100	100	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	2767	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/mapfiles/hpimgs12.png	200	125	63	585	16	8714	8427	0	0	Fri, 11 Jun 2010 17:01:18 GMT	public, max-age=31536000	image/png		3	15	1	710	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	11	100	100	-1	100	100	-1	-1	-1	50	100	0	0				0	0	0	0	8427	2079	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.136	GET	mt0.google.com	/vt/v=w2.97&hl=ru&x=2&y=5&z=4&s=Gal	200	123	62	699	16	11521	11337	71	1		public, max-age=22222222	image/png		3	14	1	822	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	12	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	11337	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.93	GET	mt2.google.com	/vt/v=w2.97&hl=ru&x=2&y=6&z=4&s=Gali	200	123	72	700	16	6319	6136	71	1		public, max-age=22222222	image/png		3	10	1	823	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	13	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	6136	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.136	GET	mt0.google.com	/vt/v=w2.97&hl=ru&x=2&y=7&z=4&s=Galil	200	62	62	773	16	988	806	71	1		public, max-age=22222222	image/png		3	17	1	835	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	14	100	100	-1	0	100	-1	-1	-1	100	100	0	0		71		0	0	0	0	806	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.91	GET	mt1.google.com	/vt/v=w2.97&hl=ru&x=3&y=7&z=4&s=	200	72	72	701	16	4742	4559	71	1		public, max-age=22222222	image/png		3	8	1	773	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	15	100	100	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	4559	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.93	GET	mt2.google.com	/vt/v=w2.97&hl=ru&x=4&y=7&z=4&s=Gal	200	124	62	773	16	12162	11978	71	1		public, max-age=22222222	image/png		3	18	1	897	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	16	100	100	-1	0	0	-1	-1	-1	100	100	0	0		71		0	0	0	0	11978	0	22222222
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/160h/maps2/main.js	200	436	71	702	16	88886	88547	0	0	Fri, 11 Jun 2010 16:50:28 GMT	public, max-age=31536000	text/javascript	gzip	3	6	1	1138	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	17	100	100	100	100	100	-1	50	-1	-1	100	0	0				88886	0	88886	1358	0	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.gstatic.com	/intl/ru_ALL/mapfiles/160h/maps2/mod_jslinker.js	200	154	64	1222	16	2232	1899	0	0	Fri, 11 Jun 2010 16:50:32 GMT	public, max-age=31536000	text/javascript	gzip	3	15	1	1376	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	18	100	100	100	100	100	-1	100	-1	-1	100	0	0				2232	0	2232	0	0	0	31536000
06/11/2009	21:09:17	Cleared Cache-Run_2^http://maps.google.com	74.125.87.103	GET	maps.google.com	/maps/vp?spn=34.808514,56.25&z=4&vp=37.0625,-95.677068	200	122	98	1353	16	2975	2510	71	1	Thu, 11 Jun 2009 17:09:21 GMT	private, x-gzip-ok=""	text/javascript	gzip	3	4	0	1475	Launch	-1	-1	-1	0	http://maps.google.com	202	1	0	Ulhuf/+lBkSPunfCxF84CQ	19	100	100	100	0	100	-1	100	-1	-1	100	0	0				2975	0	2975	0	0	0	
