Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194			http://maps.mail.ru	0	4888	131	4148	1856	1798556	0	0	0					0	0	0	4144	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	0	0	0	11	30	100	-1	96	100	90	59	0	0				961751	852542	961180	29630	815630	77441	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/	304	4	4	127	16	230	0	160	11					3	3	1	131	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	1	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	124	2		0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/style.css	304	4	4	132	16	230	0	160	11					3	3	1	136	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	2	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/map.js	304	4	4	135	16	139	0	160	11					3	4	1	139	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	3	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0		2		0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	217.73.200.221	GET	www.tns-counter.ru	/V13a****mail_ru/ru/CP1251/tmsec=mail_maps/	200	39	39	172	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	7	1	211	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	4	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	1	2		0	0	0	0	43	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.178.211	GET	d7.c1.b1.a1.top.mail.ru	/counter?js=na;id=1120054	200	38	2	172	16	527	43	68	3		no-cache	image/gif		3	9	1	210	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	5	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	43	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	88.212.196.77	GET	counter.yadro.ru	/hit?r;s1024*768*16;uhttp%3A//maps.mail.ru/;0.07116501489383958	0	0	0	173	16	0	0	35	2					3	11	1	173	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	2		0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/logo_maps_2.gif	304	39	39	171	16	139	0	160	11					3	3	1	210	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	7	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/logo_mail2.gif	304	39	39	171	16	139	0	160	11					3	4	1	210	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	8	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	62.152.62.186	GET	luxup.ru	/tr/937/&r=&t=1244740361484	200	2	2	215	16	206	54	0	0			image/gif		3	13	1	217	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	9	0	0	-1	100	100	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	43	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.190.51	GET	fe.banners.mail.ru	/b/757?site_id=51&size=200x300&target=http%3A%2F%2Fr.mail.ru%2Fcgi-bin%2Fbanners%2Fget%2F2866&charset=windows-1251&flash=0&rnd=995839570	200	15	15	217	16	1618	739	67	3	Thu, 11 Jun 2009 17:12:43 GMT	no-cache	text/javascript		3	15	1	232	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	10	-1	-1	0	50	-1	-1	100	-1	-1	100	0	0	0	3		1618	241	1618	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/beta_logo2.gif	304	4	4	214	16	138	0	160	11					3	3	1	218	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	11	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/wimax_icon.png	304	4	4	214	16	138	0	160	11					3	4	1	218	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	12	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/ico_open.gif	304	4	4	219	16	139	0	159	11					3	3	1	223	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	13	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/UI_close_2.png	304	4	4	219	16	138	0	159	11					3	4	1	223	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	14	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
06/11/2009	21:12:41	Cached-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/close-white-small.gif	304	4	4	224	16	139	0	159	11					3	3	1	228	Launch	-1	-1	-1	1	http://maps.mail.ru	202	2	0	i7DiILVC70yS9rI0+mkvjg	15	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0				0	0	0	0	0	0	
