Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194			http://maps.mail.ru	0	4002	134	2075	1952	2053507	0	0	0					0	0	0	1981	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	0	1	0	14	15	96	-1	97	45	90	59	0	0				1167587	1003069	1103999	29630	858408	83894	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/	200	17	5	128	16	37246	36978	0	0			text/html		3	3	1	145	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	1	-1	-1	0	100	100	-1	-1	-1	-1	0	0	0	125	3		37246	26164	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/style.css	200	12	5	137	16	14155	13888	0	0			text/css		3	4	1	149	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	2	0	0	0	100	100	-1	-1	0	-1	0	0	0		2		14155	10956	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/map.js	200	16	5	147	16	125947	125663	0	0			application/x-javascript		3	3	1	163	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	3	0	0	0	100	100	-1	100	0	-1	0	0	0				125947	95644	125947	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.190.51	GET	fe.banners.mail.ru	/js/mrb5.js	200	26	5	188	16	8533	7959	0	0	Fri, 12 Jun 2009 05:12:33 GMT	max-age=43200	application/x-javascript		3	6	1	214	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	4	50	0	0	100	0	-1	100	0	-1	0	0	0	5	2		8533	4789	8533	0	0	0	43200
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	217.73.200.222	GET	www.tns-counter.ru	/V13a****mail_ru/ru/CP1251/tmsec=mail_maps/	302	39	23	233	16	602	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	8	1	272	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	11		0	0	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.178.211	GET	d7.c1.b1.a1.top.mail.ru	/counter?js=na;id=1120054	200	22	6	234	16	444	43	33	1		no-cache	image/gif		3	10	1	256	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	6	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	8	4		0	0	0	0	43	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	88.212.196.101	GET	counter.yadro.ru	/hit?r;s1024*768*16;uhttp%3A//maps.mail.ru/;0.4217127072075569	302	124	46	240	16	484	32	0	0	Tue, 10 Jun 2008 20:00:00 GMT	no-cache	text/html		3	12	1	364	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	2	7		0	0	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/logo_maps_2.gif	200	50	50	232	16	1499	1232	33	1			image/gif		3	4	1	282	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	8	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	1232	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/logo_mail2.gif	200	50	50	233	16	1459	1192	33	1			image/gif		3	3	1	283	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	9	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	1192	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.181.39	GET	img.mail.ru	/0.gif	200	78	78	286	16	390	103	33	1	Thu, 18 Jun 2009 17:12:34 GMT	max-age=604800	image/gif		3	14	1	364	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	10	50	0	-1	0	100	-1	-1	-1	100	100	0	0	5	46		0	0	0	0	103	0	604800
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	217.73.200.222	GET	www.tns-counter.ru	/V13b****mail_ru/ru/CP1251/tmsec=mail_maps/	200	23	23	365	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	15	1	388	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	11	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		91		0	0	0	0	43	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.179.156	GET	r.mail.ru	/cgi-bin/banners/get/2866	200	22	2	365	16	678	219	52	2	Thu, 18 Jun 2009 17:12:33 GMT	max-age=604800	text/html		3	17	1	387	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	12	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	9	82		678	0	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	62.152.62.186	GET	luxup.ru	/tr/937/&r=&t=1244740350718	200	31	22	366	16	206	54	0	0			image/gif		3	19	1	397	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	13	0	0	-1	100	100	-1	-1	-1	100	100	0	0	2	79		0	0	0	0	43	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	88.212.196.101	GET	counter.yadro.ru	/hit?q;r;s1024*768*16;uhttp%3A//maps.mail.ru/;0.4217127072075569	200	33	33	365	16	399	43	17	1	Tue, 10 Jun 2008 20:00:00 GMT	no-cache	image/gif		3	12	1	398	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	14	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/beta_logo2.gif	200	57	49	365	16	1593	1327	33	1			image/gif		3	4	1	422	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	15	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	1327	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/img/wimax_icon.png	200	61	58	365	16	597	332	33	1			image/png		3	3	1	426	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	16	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	332	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.190.51	GET	fe.banners.mail.ru	/b/757?site_id=51&size=200x300&target=http%3A%2F%2Fr.mail.ru%2Fcgi-bin%2Fbanners%2Fget%2F2866&charset=windows-1251&flash=0&rnd=211688116	200	21	21	430	16	1618	739	68	3	Thu, 11 Jun 2009 17:12:32 GMT	no-cache	text/javascript		3	21	1	451	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	17	-1	-1	0	50	0	-1	100	-1	-1	100	0	0		2		1618	238	1618	0	0	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/ico_open.gif	200	9	4	427	16	340	75	33	1			image/gif		3	4	1	436	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	18	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	75	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/map/UI_close_2.png	200	9	9	428	16	520	255	33	1			image/png		3	3	1	437	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	19	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	255	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/close-white-small.gif	200	13	13	437	16	328	63	33	1			image/gif		3	4	1	450	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	20	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	63	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/close-white.gif	200	17	17	438	16	392	126	33	1			image/gif		3	3	1	455	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	21	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	126	0	
06/11/2009	21:12:30	Cleared Cache-Run_1^http://maps.mail.ru	94.100.182.194	GET	maps.mail.ru	/progress.gif	200	4	4	452	16	1809	1542	33	1			image/gif		3	4	1	456	Launch	-1	-1	-1	0	http://maps.mail.ru	202	2	0	8Bw9ZLgXqEWNWKe878p8GA	22	0	0	-1	0	100	-1	-1	-1	100	0	0	0				0	0	0	0	1542	0	
