Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.116			http://lenta.ru	0	457	132	178	2096	114725	0	0	0					0	0	0	457	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	0	10	0	95	94	83	-1	100	100	99	83	0	0				41423	1968	511	0	51171	385	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	21	5	127	16	37024	36811	0	0			text/html	gzip	3	3	1	148	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	125	2		37024	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	304	1	1	153	16	136	0	0	0					3	5	1	154	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	304	1	1	153	16	136	0	0	0					3	6	1	154	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	304	2	2	173	16	136	0	0	0					3	5	1	175	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	304	2	2	173	16	136	0	0	0					3	6	1	175	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	5	5	177	16	258	45	29	1			text/html		3	8	1	182	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	6	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0	0	2		258	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	304	1	1	175	16	136	0	0	0					3	5	1	176	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	304	2	2	176	16	136	0	0	0					3	6	1	178	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/15/2009	12:54:04	Cached-Run_1^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/news/2009/06/15/fatwa/picture--240.jpg	304	1	1	186	16	136	0	0	0					3	5	1	187	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	DRag/SiKOEWg0k5TP57F6A	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
