Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	87.250.251.11			http://yandex.ru	0	391	127	311	384	62633	0	0	0					0	0	0	391	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	0	69	0	87	63	92	-1	33	100	67	95	0	0				27271	3342	5089	3373	29383	9673	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	87.250.251.11	GET	yandex.ru	/	301	1	1	126	16	481	189	0	0			text/html	gzip	3	3	1	127	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	1	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	124	1		0	0	0	0	0	0	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	93.158.134.3	GET	www.yandex.ru	/	200	62	36	130	16	17158	16664	0	0	Tue Jun 16 12:22:57 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	5	1	192	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	2	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	0	1		17158	0	0	0	0	0	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	93.158.134.44	GET	img.yandex.net	/i/www/js/_utils_0.0.1.js	200	1	1	206	16	1206	892	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	application/x-javascript	gzip	3	7	1	207	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	3	100	0	100	100	100	-1	100	100	-1	100	0	0	2	1		1206	0	1206	0	0	0	315360000
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a****yandex_ru/ru/CP1251/tmsec=yandex_main/0	302	33	13	208	16	607	43	0	0	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	9	1	241	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	2		0	0	0	0	0	0	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/E_e60MKjPZC40X02Zh3gUAC4KPK5cm5fMeYeoxG4agfshmUAec3I196yq4ba1fE53OklSleTGNi5	302	2	2	242	16	387	0	28	1	Tue, 16 Jun 2009 12:22:56 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	11	1	244	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	2	31		0	0	0	0	0	0	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	77.88.21.6	GET	imgl.yandex.net	/i/www/logo1.png	200	2	1	243	16	3343	3052	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	13	1	245	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	6	100	0	-1	100	100	-1	-1	-1	100	100	0	0	2	21		0	0	0	0	3052	0	315360000
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13b****yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	16	16	246	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	14	1	262	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	7	-1	-1	-1	50	0	-1	-1	-1	100	100	0	0		3		0	0	0	0	43	0	
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	93.158.134.44	GET	img.yandex.net	/i/arr-news-chooser.gif	200	2	2	242	16	399	109	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/gif		3	7	1	244	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	8	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	109	0	315360000
06/16/2009	16:22:48	Cleared Cache-Run_1^http://yandex.ru	93.158.134.44	GET	img.yandex.net	/i/arr.png	200	14	1	246	16	639	349	0	0	Thu, 31 Dec 2037 23:55:55 GMT	max-age=315360000	image/png		3	15	1	260	Launch	-1	-1	-1	0	http://yandex.ru	202	1	0	9EjNZdPajUySc55w0n5PRw	9	100	0	-1	100	100	-1	-1	-1	100	100	0	0		2		0	0	0	0	349	0	315360000
