Optimization Report : 06/16/09 at 15:45:48

Results for 'http://lenta.ru/':

Page load time: 1.649 seconds
Time to first byte: 1.134 seconds
Time to Base Page Downloaded: 1.143 seconds
Time to Start Render: 1.190 seconds
Time to Document Complete: 1.649 seconds
Time to Fully Loaded: 1.649 seconds
Bytes sent out: 2.141 KB
Bytes received: 574.478 KB
DNS Lookups: 14
Connections: 24
Requests: 137
   OK Requests:  128
   Redirects:    4
   Not Modified: 0
   Not Found:    0
   Other:        5 (204, 301, 301, 301, 301)
Base Page Response: 200


Enable browser caching of static assets:
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/04/mu/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/09/arms/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/09/infamous/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/09/sherman/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/10/judge/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/11/dreamtheater/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/11/iab/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/11/nazi/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/11/shooting/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/12/art/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/12/kirkorov/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/12/posol/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/12/rada/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/12/satan/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/15/karl/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/15/kinotavr/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/15/playoffs/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/15/stress/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/16/channel/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/16/dtv/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/16/romance/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/16/second/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/articles/2009/06/16/tehran/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/babich/pic.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/grib/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/nvidia/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/parfenov/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/rybakova/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/safarov/pic.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/tequilajazzz/picture--113.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/conf/zhuravskiy/pic.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/arrow.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/brealty/brbg.jpg
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/brealty/brlogo.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/brealty/manul.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/conf_a.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/conf_q.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/ed.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/flag.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/logowrambler.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/p_conf.gif
    FAILED  (No max-age or expires) - http://img.lenta.ru/i/refresh.gif
