Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.116			http://lenta.ru	0	3366	131	303	2112	61029	0	0	0					0	0	0	3366	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	0	0	0	100	96	20	-1	-1	100	100	93	0	0				37726	0	0	0	7149	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.116	GET	lenta.ru	/	200	16	5	126	16	36652	36439	0	0			text/html	gzip	3	3	1	142	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	1	-1	-1	100	100	-1	-1	-1	-1	-1	100	0	0	124	2		36652	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/style.css	304	1	1	143	16	136	0	0	0					3	5	1	144	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	2	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ts.css	304	2	2	143	16	136	0	0	0					3	6	1	145	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	3	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/flag.gif	304	2	2	156	16	136	0	0	0					3	5	1	158	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	4	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/logowrambler.gif	304	2	2	157	16	136	0	0	0					3	6	1	159	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	5	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5374&ifr=1	200	5	5	160	16	258	45	29	1			text/html		3	8	1	165	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	6	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0	0	2		258	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/refresh.gif	304	1	1	159	16	136	0	0	0					3	5	1	160	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	7	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/arrow.gif	304	2	2	159	16	136	0	0	0					3	6	1	161	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	8	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/news/2009/06/16/rallies/picture--240.jpg	304	2	2	170	16	136	0	0	0					3	5	1	172	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	9	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/news/2009/06/16/timoshenko/picture--113.jpg	304	2	2	170	16	136	0	0	0					3	6	1	172	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	10	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/i/ed.gif	304	1	1	172	16	136	0	0	0					3	5	1	173	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	11	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/articles/2009/06/16/tehran/picture--113.jpg	304	2	2	172	16	136	0	0	0					3	6	1	174	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	12	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/articles/2009/06/16/dtv/picture--113.jpg	304	1	1	174	16	136	0	0	0					3	5	1	175	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	13	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/photo/2009/06/16/expo/picture--113.jpg	304	2	2	175	16	136	0	0	0					3	6	1	177	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	14	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.66.130	GET	ad2.rambler.ru	/lenta.ban?pg=5309&ifr=1	200	5	5	178	16	591	378	29	1			text/html		3	9	1	183	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	15	-1	-1	100	50	0	-1	-1	-1	-1	100	0	0		2		591	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/conf/zhuravskiy/pic.jpg	304	2	2	176	16	136	0	0	0					3	5	1	178	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	16	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	15:47:37	Cached-Run_2^http://lenta.ru	81.19.85.113	GET	img.lenta.ru	/conf/safarov/pic.jpg	304	2	2	177	16	136	0	0	0					3	6	1	179	Launch	-1	-1	-1	1	http://lenta.ru	202	1	0	OF0WTlIgJEq+kw8+EKH/wg	17	-1	-1	-1	100	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
