Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	77.88.21.3			http://www.yandex.ru	0	252	157	178	192	22901	0	0	0					0	0	0	252	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	0	0	0	83	45	100	-1	13	100	100	90	0	0				20232	3342	3883	3373	86	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	77.88.21.3	GET	www.yandex.ru	/	200	44	31	126	16	16349	15961	59	2	Tue Jun 16 12:42:16 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	3	1	170	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	1	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	124	1		16349	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a**2036960331245156130**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	3	3	181	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	6	1	184	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	2	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	6	3		0	0	0	0	43	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/9j3_2zcJ5Ue40X02ZhSoUQC4KPK5cm5fMeYeoxG4agfshmUAec3I196yq4ba1fE53OklSleTGNi5	302	1	1	181	16	387	0	59	2	Tue, 16 Jun 2009 12:42:16 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	8	1	182	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	3	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	1	1		0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/75PxZvdq_j3l1WEhKHeIGg.png	304	1	1	184	16	149	0	59	2					3	8	1	185	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/9j3_2zcJ5Ue40X02ZhSoUQC4KPK5cm5fMeYeoxG4agfshmUAec3I196yq4ba1fE53OklSleTGNi5	302	1	1	201	16	387	0	59	2	Tue, 16 Jun 2009 12:42:16 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	8	1	202	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/9j3_2_lVxDO40X00ZhSoUQC4KP6yq4ba1fE53NW2=znrlB9K2cm9jL9Abk6a6Um40=nBtDMPK5cm5fMfAgTgy7Um40	200	14	1	230	16	423	0	59	2	Tue, 16 Jun 2009 12:42:16 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	8	1	244	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	6	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/9j3_2pJhNfu40X02ZhSoUQC4KPK2cm9jL2A8ghiz0PAbk6a6YgAsnmEHlD19P0QJXGsBfsTA5a5y1G00?651230987	302	1	1	245	16	381	0	59	2	Tue, 16 Jun 2009 12:42:16 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	9	1	246	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	7	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		14		0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	87.250.251.63	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	3	3	249	16	250	0	59	2			text/html	gzip	3	11	1	252	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	8	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	1	2		0	0	0	0	0	0	
06/16/2009	16:42:08	Cached-Run_2^http://www.yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/spacer.gif?651230987	200	1	1	248	16	254	43	59	2			image/gif		3	8	1	249	Launch	-1	-1	-1	1	http://www.yandex.ru	202	1	0	lq7Hun1GK0qEBV4/cKq3LA	9	0	0	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	43	0	
