Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	77.88.21.11			http://yandex.ru	0	449	127	179	304	59536	0	0	0					0	0	0	449	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	0	0	0	79	44	100	-1	45	100	100	94	0	0				23051	4676	6173	3373	31424	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	77.88.21.11	GET	yandex.ru	/	301	1	1	125	16	481	189	58	2			text/html	gzip	3	3	1	126	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	124	1		0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	77.88.21.3	GET	www.yandex.ru	/	200	39	32	129	16	16878	16490	58	2	Tue Jun 16 13:37:21 2009 GMT	no-cache,no-store,max-age=0,must-revalidate	text/html	gzip	3	5	1	168	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	2	-1	-1	100	50	-1	-1	-1	-1	-1	100	0	0	0	1		16878	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	217.73.200.169	GET	www.tns-counter.ru	/V13a**116485201245159434**yandex_ru/ru/CP1251/tmsec=yandex_main/0	200	3	3	178	16	438	43	32	1	Thu, 01 Jan 1970 00:00:01 GMT	no-store, no-cache, must-revalidate, post-check=0, pre-check=0	image/gif		3	8	1	181	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	3	-1	-1	-1	50	-1	-1	-1	-1	100	100	0	0	0	2		0	0	0	0	43	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/HyWHFXys_KS40X02Zh01UgC4KPK5cm5fMeYeoxG4agfshmUAec3I196yq4ba1fE53OklSleTGNi5	302	1	1	182	16	387	0	58	2	Tue, 16 Jun 2009 13:37:20 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	183	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	4	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	1		0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/75PxZvdq_j3l1WEhKHeIGg.png	304	1	1	184	16	149	0	58	2					3	10	1	185	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	5	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/HyWHFXys_KS40X02Zh01UgC4KPK5cm5fMeYeoxG4agfshmUAec3I196yq4ba1fE53OklSleTGNi5	302	3	3	198	16	387	0	58	2	Tue, 16 Jun 2009 13:37:20 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	201	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	6	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/HyWHFdPt9qW40X00Zh01UgC4KP6yq4ba1fE53NW2=BYIYG9K2cm9jL9AW4jS7e9Ek0Ny1=9VpKjPK5cm5fMfAgTgy7Um40	200	26	1	222	16	435	0	58	2	Tue, 16 Jun 2009 13:37:20 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	10	1	248	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	7	-1	-1	-1	50	100	-1	-1	-1	-1	100	0	0				0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	87.250.251.63	GET	suggest.yandex.ru	/tsuggest-1.6.html	304	1	1	252	16	250	0	70	2			text/html	gzip	3	12	1	253	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	8	-1	-1	-1	50	-1	-1	-1	-1	-1	0	0	0	0	1		0	0	0	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/flashldr006.js	200	2	2	251	16	2290	2062	70	2			application/x-javascript		3	10	1	253	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	9	0	0	0	0	100	-1	100	-1	-1	100	0	0				2290	1334	2290	0	0	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/resource/a^rbkAVdq_vSTPmBib7ogA.gif?rnd=114862	200	7	1	259	16	12690	12476	70	2			image/gif		3	10	1	266	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	10	0	0	-1	0	100	-1	-1	-1	100	100	0	0				0	0	0	0	12476	0	
06/16/2009	17:37:12	Cached-Run_1^http://yandex.ru	213.180.204.91	GET	yabs.yandex.ru	/count/HyWHFXKwBv440X02Zh01UgC4KPK2cm9jL2A8eOqp1fAW4jS7YgIGyWIHlD19P0QJXGsBhrkL7a6Cawu1e9Ek0Nm6	302	1	1	261	16	435	0	70	2	Tue, 16 Jun 2009 13:37:20 GMT	private, no-cache, no-store, must-revalidate, max-age=0			3	13	1	262	Launch	-1	-1	-1	1	http://yandex.ru	202	1	0	G/ZP21lUnk6oNXcz9HbadQ	11	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0		1		0	0	0	0	0	0	
