Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	213.180.204.25			https://passport.yandex.ru/passport?mode=passport	0	2259	36	585	640	483979	0	0	0					0	0	0	2259		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	0	90	0	29	86	96	-1	100	30	65	85	0	0				353412	249066	247868	0	118934	41412	
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	213.180.204.25	GET	mail.yandex.ru	/	302	36	35	1	16	3219	2753	327	6	Tue, 16 Jun 2009 14:17:24 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	2	1	37		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	1	-1	-1	-1	50	-1	-1	-1	-1	-1	100	0	0	0	0		0	0	0	0	0	0	
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	213.180.204.25	GET	mail.yandex.ru	/neo/messages_thread?d=id36739672	200	222	218	37	16	14475	14088	327	6	Tue, 16 Jun 2009 14:17:24 GMT	max-age=0, must-revalidate, proxy-revalidate, no-cache, no-store, private	text/html	gzip	3	2	1	259		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	2	-1	-1	100	50	100	-1	-1	-1	-1	100	0	0				14475	0	0	0	0	0	
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/m-ie6.css	200	20	2	266	16	67579	67310	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	text/css		3	4	1	286		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	3	100	0	0	100	100	-1	-1	0	-1	100	0	0	1	2		67579	54770	0	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/page-inbox.ie.css	200	14	3	267	16	17396	17127	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	text/css		3	5	1	281		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	4	100	0	0	100	100	-1	-1	0	-1	100	0	0		3		17396	13670	0	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/css/theme/default/theme-page-inbox.ie.css	200	3	3	281	16	6094	5826	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	text/css		3	5	1	284		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	5	100	0	0	100	100	-1	-1	0	-1	100	0	0				6094	4880	0	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/etc/jquery/jquery.js	200	23	2	285	16	120501	120215	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	application/x-javascript		3	5	1	308		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	6	100	0	0	100	100	-1	100	0	-1	100	0	0				120501	86175	120501	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/lego.js	200	2	1	333	16	10923	10638	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	application/x-javascript		3	4	1	335		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	7	100	0	0	100	100	-1	100	0	-1	100	0	0				10923	6353	10923	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js_texts/ru/Mail_js.js	200	1	1	352	16	8946	8662	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	application/x-javascript		3	5	1	353		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	8	100	0	0	100	100	-1	100	0	-1	100	0	0				8946	5996	8946	0	0	0	15552000
06/16/2009	18:12:16	Cleared Cache-Run_1^090616_1Z.pts_Step3	87.250.251.87	GET	mailstatic.yandex.net	/neo/35515/js/Mail.js	200	6	1	367	16	77362	77077	0	0	Sun, 13 Dec 2009 14:12:24 GMT	max-age=15552000	application/x-javascript		3	4	1	373		-1	-1	-1	0	https://passport.yandex.ru/passport?mode=passport	202	1	0	0ebB2oDdCEC+UpWkrvU+zg	9	100	0	0	100	100	-1	100	0	-1	100	0	0				77362	56870	77362	0	0	0	15552000
